,5d811b576c61db00018d5d9a
Pond7Fish13_CatchTime,0.918
Pond7Fish13_PondTime,219.175
Pond7Fish13_PondOutcome,120
Pond7Fish13_TotalOutcome,210
Pond7Fish13_TimeLeft,856.102
PondEnd_LastFish,13
FishN,15
Type,RT
GiveUpTime,34.921
PondTime,253.213
TimeLeft,821.549
PondOutcome,120
TotalOutcome,210
PondStart,PondStart
PondIntroTime,11.564350672997534
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,gray
Pond2Fish1_FishLatency,3.1578947368421053
Pond2Fish1_CatchTime,0.762
Pond2Fish1_PondTime,7.612
Pond2Fish1_PondOutcome,2
Pond2Fish1_TotalOutcome,212
Pond2Fish1_TimeLeft,801.744
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,3.3333333333333335
Pond2Fish2_CatchTime,1.037
Pond2Fish2_PondTime,13.518
Pond2Fish2_PondOutcome,14
Pond2Fish2_TotalOutcome,224
Pond2Fish2_TimeLeft,795.839
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,3.5294117647058822
Pond2Fish3_CatchTime,1.18
Pond2Fish3_PondTime,19.647
Pond2Fish3_PondOutcome,26
Pond2Fish3_TotalOutcome,236
Pond2Fish3_TimeLeft,789.71
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,3.75
Pond2Fish4_CatchTime,1.172
Pond2Fish4_PondTime,26.017
Pond2Fish4_PondOutcome,38
Pond2Fish4_TotalOutcome,248
Pond2Fish4_TimeLeft,783.339
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,4
Pond2Fish5_CatchTime,1.489
Pond2Fish5_PondTime,32.672
Pond2Fish5_PondOutcome,50
Pond2Fish5_TotalOutcome,260
Pond2Fish5_TimeLeft,776.685
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,gray
Pond2Fish6_FishLatency,4.285714285714286
Pond2Fish6_CatchTime,1.3
Pond2Fish6_PondTime,39.661
Pond2Fish6_PondOutcome,52
Pond2Fish6_TotalOutcome,262
Pond2Fish6_TimeLeft,769.696
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,4.615384615384615
Pond2Fish7_CatchTime,1.264
Pond2Fish7_PondTime,47.029
Pond2Fish7_PondOutcome,64
Pond2Fish7_TotalOutcome,274
Pond2Fish7_TimeLeft,762.328
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,5
Pond2Fish8_CatchTime,1.02
Pond2Fish8_PondTime,54.853
Pond2Fish8_PondOutcome,76
Pond2Fish8_TotalOutcome,286
Pond2Fish8_TimeLeft,754.503
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,5.454545454545454
Pond2Fish9_CatchTime,1.226
Pond2Fish9_PondTime,63.221
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,298
Pond2Fish9_TimeLeft,746.136
Type,RD
FishN,12
Fish,10
Pond2Fish10_FishType,blue
Pond2Fish10_FishLatency,6
Pond2Fish10_CatchTime,-1
Pond2Fish10_PondTime,72.314
Pond2Fish10_PondOutcome,88
Pond2Fish10_TotalOutcome,298
Pond2Fish10_TimeLeft,737.042
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,6.666666666666667
Pond2Fish11_CatchTime,0.997
Pond2Fish11_PondTime,82.186
Pond2Fish11_PondOutcome,100
Pond2Fish11_TotalOutcome,310
Pond2Fish11_TimeLeft,727.171
Type,RD
FishN,12
Fish,12
Pond2Fish12_FishType,blue
Pond2Fish12_FishLatency,7.5
Pond2Fish12_CatchTime,0.85
Pond2Fish12_PondTime,93.127
Pond2Fish12_PondOutcome,112
Pond2Fish12_TotalOutcome,322
Pond2Fish12_TimeLeft,716.23
Type,RD
FishN,12
Fish,13
Pond2Fish13_FishType,gray
Pond2Fish13_FishLatency,8.571428571428571
Pond2Fish13_CatchTime,0.85
Pond2Fish13_PondTime,105.498
Pond2Fish13_PondOutcome,114
Pond2Fish13_TotalOutcome,324
Pond2Fish13_TimeLeft,703.859
Type,RD
FishN,12
Fish,14
Pond2Fish14_FishType,blue
Pond2Fish14_FishLatency,10
Pond2Fish14_CatchTime,0.806
Pond2Fish14_PondTime,119.868
Pond2Fish14_PondOutcome,126
Pond2Fish14_TotalOutcome,336
Pond2Fish14_TimeLeft,689.489
Type,RD
FishN,12
Fish,15
Pond2Fish15_FishType,blue
Pond2Fish15_FishLatency,12
Pond2Fish15_CatchTime,1.28
Pond2Fish15_PondTime,137.239
Pond2Fish15_PondOutcome,138
Pond2Fish15_TotalOutcome,348
Pond2Fish15_TimeLeft,672.118
Type,RD
FishN,12
Fish,16
Pond2Fish16_FishType,blue
Pond2Fish16_FishLatency,15
Pond2Fish16_CatchTime,0.953
Pond2Fish16_PondTime,159.608
Pond2Fish16_PondOutcome,150
Pond2Fish16_TotalOutcome,360
Pond2Fish16_TimeLeft,649.748
Type,RD
FishN,12
Fish,17
Pond2Fish17_FishType,gray
Pond2Fish17_FishLatency,20
Pond2Fish17_CatchTime,1.016
Pond2Fish17_PondTime,191.979
Pond2Fish17_PondOutcome,152
Pond2Fish17_TotalOutcome,362
Pond2Fish17_TimeLeft,617.378
Type,RD
FishN,12
Fish,18
Pond2Fish18_FishType,blue
Pond2Fish18_FishLatency,30
Pond2Fish18_CatchTime,0.92
Pond2Fish18_PondTime,254.347
Pond2Fish18_PondOutcome,164
Pond2Fish18_TotalOutcome,374
Pond2Fish18_TimeLeft,555.01
Type,RD
FishN,12
Fish,19
Pond2Fish19_FishType,blue
Pond2Fish19_FishLatency,60
Pond2Fish19_CatchTime,1.58
Pond2Fish19_PondTime,256.721
Pond2Fish19_PondOutcome,176
Pond2Fish19_TotalOutcome,386
Pond2Fish19_TimeLeft,552.636
PondEnd_LastFish,19
FishN,12
Type,RD
GiveUpTime,1.929
PondTime,258.44
TimeLeft,550.413
PondOutcome,176
TotalOutcome,386
PondStart,PondStart
PondIntroTime,18.406400519888848
Type,N
FishN,19
Fish,1
Pond6Fish1_FishType,green
Pond6Fish1_FishLatency,4.615384615384615
Pond6Fish1_CatchTime,0.974
Pond6Fish1_PondTime,9.284
Pond6Fish1_PondOutcome,11
Pond6Fish1_TotalOutcome,397
Pond6Fish1_TimeLeft,522.105
Type,N
FishN,19
Fish,2
Pond6Fish2_FishType,green
Pond6Fish2_FishLatency,5
Pond6Fish2_CatchTime,-1
Pond6Fish2_PondTime,17.162
Pond6Fish2_PondOutcome,11
Pond6Fish2_TotalOutcome,397
Pond6Fish2_TimeLeft,514.227
Type,N
FishN,19
Fish,3
Pond6Fish3_FishType,green
Pond6Fish3_FishLatency,5.454545454545454
Pond6Fish3_CatchTime,0.797
Pond6Fish3_PondTime,25.533
Pond6Fish3_PondOutcome,22
Pond6Fish3_TotalOutcome,408
Pond6Fish3_TimeLeft,505.855
Type,N
FishN,19
Fish,4
Pond6Fish4_FishType,green
Pond6Fish4_FishLatency,6
Pond6Fish4_CatchTime,0.845
Pond6Fish4_PondTime,34.572
Pond6Fish4_PondOutcome,33
Pond6Fish4_TotalOutcome,419
Pond6Fish4_TimeLeft,496.816
Type,N
FishN,19
Fish,5
Pond6Fish5_FishType,green
Pond6Fish5_FishLatency,6.666666666666667
Pond6Fish5_CatchTime,0.868
Pond6Fish5_PondTime,44.45
Pond6Fish5_PondOutcome,44
Pond6Fish5_TotalOutcome,430
Pond6Fish5_TimeLeft,486.938
Type,N
FishN,19
Fish,6
Pond6Fish6_FishType,green
Pond6Fish6_FishLatency,7.5
Pond6Fish6_CatchTime,0.861
Pond6Fish6_PondTime,55.388
Pond6Fish6_PondOutcome,55
Pond6Fish6_TotalOutcome,441
Pond6Fish6_TimeLeft,476
Type,N
FishN,19
Fish,7
Pond6Fish7_FishType,green
Pond6Fish7_FishLatency,8.571428571428571
Pond6Fish7_CatchTime,0.877
Pond6Fish7_PondTime,67.764
Pond6Fish7_PondOutcome,66
Pond6Fish7_TotalOutcome,452
Pond6Fish7_TimeLeft,463.625
Type,N
FishN,19
Fish,8
Pond6Fish8_FishType,green
Pond6Fish8_FishLatency,10
Pond6Fish8_CatchTime,1.559
Pond6Fish8_PondTime,82.141
Pond6Fish8_PondOutcome,77
Pond6Fish8_TotalOutcome,463
Pond6Fish8_TimeLeft,449.248
Type,N
FishN,19
Fish,9
Pond6Fish9_FishType,green
Pond6Fish9_FishLatency,12
Pond6Fish9_CatchTime,0.859
Pond6Fish9_PondTime,99.519
Pond6Fish9_PondOutcome,88
Pond6Fish9_TotalOutcome,474
Pond6Fish9_TimeLeft,431.87
Type,N
FishN,19
Fish,10
Pond6Fish10_FishType,green
Pond6Fish10_FishLatency,15
Pond6Fish10_CatchTime,0.984
Pond6Fish10_PondTime,121.893
Pond6Fish10_PondOutcome,99
Pond6Fish10_TotalOutcome,485
Pond6Fish10_TimeLeft,409.496
Type,N
FishN,19
Fish,11
Pond6Fish11_FishType,green
Pond6Fish11_FishLatency,20
Pond6Fish11_CatchTime,0.897
Pond6Fish11_PondTime,154.264
Pond6Fish11_PondOutcome,110
Pond6Fish11_TotalOutcome,496
Pond6Fish11_TimeLeft,377.125
Type,N
FishN,19
Fish,12
Pond6Fish12_FishType,green
Pond6Fish12_FishLatency,30
Pond6Fish12_CatchTime,1.527
Pond6Fish12_PondTime,216.634
Pond6Fish12_PondOutcome,121
Pond6Fish12_TotalOutcome,507
Pond6Fish12_TimeLeft,314.755
Type,N
FishN,19
Fish,13
Pond6Fish13_FishType,green
Pond6Fish13_FishLatency,60
Pond6Fish13_CatchTime,1.518
Pond6Fish13_PondTime,219.001
Pond6Fish13_PondOutcome,132
Pond6Fish13_TotalOutcome,518
Pond6Fish13_TimeLeft,312.388
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,72.525
PondTime,291.252
TimeLeft,239.634
PondOutcome,132
TotalOutcome,518
PondStart,PondStart
PondIntroTime,11.063568296376616
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.3333333333333335
Pond4Fish1_CatchTime,0.968
Pond4Fish1_PondTime,7.816
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,528
Pond4Fish1_TimeLeft,220.117
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,golden
Pond4Fish2_FishLatency,3.5294117647058822
Pond4Fish2_CatchTime,1.248
Pond4Fish2_PondTime,13.95
Pond4Fish2_PondOutcome,30
Pond4Fish2_TotalOutcome,548
Pond4Fish2_TimeLeft,213.983
Type,RT
FishN,16
Fish,3
Pond4Fish3_FishType,purple
Pond4Fish3_FishLatency,3.75
Pond4Fish3_CatchTime,1.381
Pond4Fish3_PondTime,20.327
Pond4Fish3_PondOutcome,40
Pond4Fish3_TotalOutcome,558
Pond4Fish3_TimeLeft,207.606
Type,RT
FishN,16
Fish,4
Pond4Fish4_FishType,golden
Pond4Fish4_FishLatency,4
Pond4Fish4_CatchTime,0.81
Pond4Fish4_PondTime,26.985
Pond4Fish4_PondOutcome,60
Pond4Fish4_TotalOutcome,578
Pond4Fish4_TimeLeft,200.948
Type,RT
FishN,16
Fish,5
Pond4Fish5_FishType,purple
Pond4Fish5_FishLatency,4.285714285714286
Pond4Fish5_CatchTime,0.879
Pond4Fish5_PondTime,33.971
Pond4Fish5_PondOutcome,70
Pond4Fish5_TotalOutcome,588
Pond4Fish5_TimeLeft,193.962
Type,RT
FishN,16
Fish,6
Pond4Fish6_FishType,purple
Pond4Fish6_FishLatency,4.615384615384615
Pond4Fish6_CatchTime,0.95
Pond4Fish6_PondTime,41.342
Pond4Fish6_PondOutcome,80
Pond4Fish6_TotalOutcome,598
Pond4Fish6_TimeLeft,186.59
Type,RT
FishN,16
Fish,7
Pond4Fish7_FishType,purple
Pond4Fish7_FishLatency,5
Pond4Fish7_CatchTime,0.871
Pond4Fish7_PondTime,49.171
Pond4Fish7_PondOutcome,90
Pond4Fish7_TotalOutcome,608
Pond4Fish7_TimeLeft,178.762
Type,RT
FishN,16
Fish,8
Pond4Fish8_FishType,golden
Pond4Fish8_FishLatency,5.454545454545454
Pond4Fish8_CatchTime,0.898
Pond4Fish8_PondTime,57.546
Pond4Fish8_PondOutcome,110
Pond4Fish8_TotalOutcome,628
Pond4Fish8_TimeLeft,170.387
Type,RT
FishN,16
Fish,9
Pond4Fish9_FishType,purple
Pond4Fish9_FishLatency,6
Pond4Fish9_CatchTime,1.03
Pond4Fish9_PondTime,66.584
Pond4Fish9_PondOutcome,120
Pond4Fish9_TotalOutcome,638
Pond4Fish9_TimeLeft,161.349
Type,RT
FishN,16
Fish,10
Pond4Fish10_FishType,golden
Pond4Fish10_FishLatency,6.666666666666667
Pond4Fish10_CatchTime,1.095
Pond4Fish10_PondTime,76.455
Pond4Fish10_PondOutcome,140
Pond4Fish10_TotalOutcome,658
Pond4Fish10_TimeLeft,151.477
Type,RT
FishN,16
Fish,11
Pond4Fish11_FishType,purple
Pond4Fish11_FishLatency,7.5
Pond4Fish11_CatchTime,1.309
Pond4Fish11_PondTime,87.401
Pond4Fish11_PondOutcome,150
Pond4Fish11_TotalOutcome,668
Pond4Fish11_TimeLeft,140.532
Type,RT
FishN,16
Fish,12
Pond4Fish12_FishType,purple
Pond4Fish12_FishLatency,8.571428571428571
Pond4Fish12_CatchTime,1.146
Pond4Fish12_PondTime,99.773
Pond4Fish12_PondOutcome,160
Pond4Fish12_TotalOutcome,678
Pond4Fish12_TimeLeft,128.16
Type,RT
FishN,16
Fish,13
Pond4Fish13_FishType,purple
Pond4Fish13_FishLatency,10
Pond4Fish13_CatchTime,0.954
Pond4Fish13_PondTime,114.145
Pond4Fish13_PondOutcome,170
Pond4Fish13_TotalOutcome,688
Pond4Fish13_TimeLeft,113.788
Type,RT
FishN,16
Fish,14
Pond4Fish14_FishType,purple
Pond4Fish14_FishLatency,12
Pond4Fish14_CatchTime,1.351
Pond4Fish14_PondTime,131.513
Pond4Fish14_PondOutcome,180
Pond4Fish14_TotalOutcome,698
Pond4Fish14_TimeLeft,96.42
Type,RT
FishN,16
Fish,15
Pond4Fish15_FishType,purple
Pond4Fish15_FishLatency,15
Pond4Fish15_CatchTime,0.851
Pond4Fish15_PondTime,153.89
Pond4Fish15_PondOutcome,190
Pond4Fish15_TotalOutcome,708
Pond4Fish15_TimeLeft,74.043
Type,RT
FishN,16
Fish,16
Pond4Fish16_FishType,purple
Pond4Fish16_FishLatency,20
Pond4Fish16_CatchTime,0.906
Pond4Fish16_PondTime,186.264
Pond4Fish16_PondOutcome,200
Pond4Fish16_TotalOutcome,718
Pond4Fish16_TimeLeft,41.669
