,5c704329d25ffb00016fa39f
Pond6Fish1_FishType,blue
Pond6Fish1_FishLatency,3.5294117647058822
Pond6Fish1_CatchTime,1.014
Pond6Fish1_PondTime,8.092
Pond6Fish1_PondOutcome,12
Pond6Fish1_TotalOutcome,155
Pond6Fish1_TimeLeft,1016.816
Type,RD
FishN,19
Fish,2
Pond6Fish2_FishType,blue
Pond6Fish2_FishLatency,3.75
Pond6Fish2_CatchTime,1.946
Pond6Fish2_PondTime,14.743
Pond6Fish2_PondOutcome,24
Pond6Fish2_TotalOutcome,167
Pond6Fish2_TimeLeft,1010.165
Type,RD
FishN,19
Fish,3
Pond6Fish3_FishType,blue
Pond6Fish3_FishLatency,4
Pond6Fish3_CatchTime,0.943
Pond6Fish3_PondTime,21.422
Pond6Fish3_PondOutcome,36
Pond6Fish3_TotalOutcome,179
Pond6Fish3_TimeLeft,1003.486
Type,RD
FishN,19
Fish,4
Pond6Fish4_FishType,blue
Pond6Fish4_FishLatency,4.285714285714286
Pond6Fish4_CatchTime,1.099
Pond6Fish4_PondTime,28.454
Pond6Fish4_PondOutcome,48
Pond6Fish4_TotalOutcome,191
Pond6Fish4_TimeLeft,996.454
Type,RD
FishN,19
Fish,5
Pond6Fish5_FishType,blue
Pond6Fish5_FishLatency,4.615384615384615
Pond6Fish5_CatchTime,0.945
Pond6Fish5_PondTime,35.835
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,203
Pond6Fish5_TimeLeft,989.073
Type,RD
FishN,19
Fish,6
Pond6Fish6_FishType,blue
Pond6Fish6_FishLatency,5
Pond6Fish6_CatchTime,1.125
Pond6Fish6_PondTime,43.7
Pond6Fish6_PondOutcome,72
Pond6Fish6_TotalOutcome,215
Pond6Fish6_TimeLeft,981.208
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.91
Pond6Fish7_PondTime,52.115
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,227
Pond6Fish7_TimeLeft,972.793
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,0.812
Pond6Fish8_PondTime,61.163
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,239
Pond6Fish8_TimeLeft,963.744
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.055
Pond6Fish9_PondTime,71.079
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,251
Pond6Fish9_TimeLeft,953.829
Type,RD
FishN,19
Fish,10
Pond6Fish10_FishType,blue
Pond6Fish10_FishLatency,7.5
Pond6Fish10_CatchTime,0.82
Pond6Fish10_PondTime,82.052
Pond6Fish10_PondOutcome,120
Pond6Fish10_TotalOutcome,263
Pond6Fish10_TimeLeft,942.856
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,2.632
PondTime,83.713
TimeLeft,940.69
PondOutcome,120
TotalOutcome,263
PondStart,PondStart
PondIntroTime,12.475622647907585
Type,RD
FishN,16
Fish,1
Pond4Fish1_FishType,blue
Pond4Fish1_FishLatency,3.5294117647058822
Pond4Fish1_CatchTime,0.87
Pond4Fish1_PondTime,8.059
Pond4Fish1_PondOutcome,12
Pond4Fish1_TotalOutcome,275
Pond4Fish1_TimeLeft,919.538
Type,RD
FishN,16
Fish,2
Pond4Fish2_FishType,blue
Pond4Fish2_FishLatency,3.75
Pond4Fish2_CatchTime,0.925
Pond4Fish2_PondTime,14.473
Pond4Fish2_PondOutcome,24
Pond4Fish2_TotalOutcome,287
Pond4Fish2_TimeLeft,913.124
Type,RD
FishN,16
Fish,3
Pond4Fish3_FishType,blue
Pond4Fish3_FishLatency,4
Pond4Fish3_CatchTime,1.291
Pond4Fish3_PondTime,21.173
Pond4Fish3_PondOutcome,36
Pond4Fish3_TotalOutcome,299
Pond4Fish3_TimeLeft,906.424
Type,RD
FishN,16
Fish,4
Pond4Fish4_FishType,blue
Pond4Fish4_FishLatency,4.285714285714286
Pond4Fish4_CatchTime,0.881
Pond4Fish4_PondTime,28.189
Pond4Fish4_PondOutcome,48
Pond4Fish4_TotalOutcome,311
Pond4Fish4_TimeLeft,899.408
Type,RD
FishN,16
Fish,5
Pond4Fish5_FishType,blue
Pond4Fish5_FishLatency,4.615384615384615
Pond4Fish5_CatchTime,1.121
Pond4Fish5_PondTime,35.586
Pond4Fish5_PondOutcome,60
Pond4Fish5_TotalOutcome,323
Pond4Fish5_TimeLeft,892.011
Type,RD
FishN,16
Fish,6
Pond4Fish6_FishType,blue
Pond4Fish6_FishLatency,5
Pond4Fish6_CatchTime,0.717
Pond4Fish6_PondTime,43.452
Pond4Fish6_PondOutcome,72
Pond4Fish6_TotalOutcome,335
Pond4Fish6_TimeLeft,884.145
Type,RD
FishN,16
Fish,7
Pond4Fish7_FishType,blue
Pond4Fish7_FishLatency,5.454545454545454
Pond4Fish7_CatchTime,0.89
Pond4Fish7_PondTime,51.85
Pond4Fish7_PondOutcome,84
Pond4Fish7_TotalOutcome,347
Pond4Fish7_TimeLeft,875.747
Type,RD
FishN,16
Fish,8
Pond4Fish8_FishType,blue
Pond4Fish8_FishLatency,6
Pond4Fish8_CatchTime,1.138
Pond4Fish8_PondTime,60.932
Pond4Fish8_PondOutcome,96
Pond4Fish8_TotalOutcome,359
Pond4Fish8_TimeLeft,866.665
Type,RD
FishN,16
Fish,9
Pond4Fish9_FishType,blue
Pond4Fish9_FishLatency,6.666666666666667
Pond4Fish9_CatchTime,1.1
Pond4Fish9_PondTime,70.848
Pond4Fish9_PondOutcome,108
Pond4Fish9_TotalOutcome,371
Pond4Fish9_TimeLeft,856.749
Type,RD
FishN,16
Fish,10
Pond4Fish10_FishType,blue
Pond4Fish10_FishLatency,7.5
Pond4Fish10_CatchTime,1.01
Pond4Fish10_PondTime,81.819
Pond4Fish10_PondOutcome,120
Pond4Fish10_TotalOutcome,383
Pond4Fish10_TimeLeft,845.778
PondEnd_LastFish,10
FishN,16
Type,RD
GiveUpTime,0.824
PondTime,81.86
TimeLeft,845.229
PondOutcome,120
TotalOutcome,383
PondStart,PondStart
PondIntroTime,19.81140549760312
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.615384615384615
Pond5Fish1_CatchTime,0.943
Pond5Fish1_PondTime,9.329
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,394
Pond5Fish1_TimeLeft,815.454
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,5
Pond5Fish2_CatchTime,1.275
Pond5Fish2_PondTime,17.189
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,405
Pond5Fish2_TimeLeft,807.594
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5.454545454545454
Pond5Fish3_CatchTime,0.989
Pond5Fish3_PondTime,25.593
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,416
Pond5Fish3_TimeLeft,799.189
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,6
Pond5Fish4_CatchTime,0.788
Pond5Fish4_PondTime,34.653
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,427
Pond5Fish4_TimeLeft,790.13
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6.666666666666667
Pond5Fish5_CatchTime,-1
Pond5Fish5_PondTime,44.625
Pond5Fish5_PondOutcome,44
Pond5Fish5_TotalOutcome,427
Pond5Fish5_TimeLeft,780.158
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,7.5
Pond5Fish6_CatchTime,0.875
Pond5Fish6_PondTime,55.59
Pond5Fish6_PondOutcome,55
Pond5Fish6_TotalOutcome,438
Pond5Fish6_TimeLeft,769.193
PondEnd_LastFish,6
FishN,12
Type,N
GiveUpTime,1.6
PondTime,56.27
TimeLeft,768.01
PondOutcome,55
TotalOutcome,438
PondStart,PondStart
PondIntroTime,18.40643106494099
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.08
Pond8Fish1_PondTime,8.922
Pond8Fish1_PondOutcome,11
Pond8Fish1_TotalOutcome,449
Pond8Fish1_TimeLeft,740.061
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,1.142
Pond8Fish2_PondTime,16.32
Pond8Fish2_PondOutcome,22
Pond8Fish2_TotalOutcome,460
Pond8Fish2_TimeLeft,732.663
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,1.04
Pond8Fish3_PondTime,24.201
Pond8Fish3_PondOutcome,33
Pond8Fish3_TotalOutcome,471
Pond8Fish3_TimeLeft,724.781
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.81
Pond8Fish4_PondTime,32.586
Pond8Fish4_PondOutcome,44
Pond8Fish4_TotalOutcome,482
Pond8Fish4_TimeLeft,716.397
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.151
Pond8Fish5_PondTime,41.632
Pond8Fish5_PondOutcome,55
Pond8Fish5_TotalOutcome,493
Pond8Fish5_TimeLeft,707.351
Type,N
FishN,17
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.123
Pond8Fish6_PondTime,51.916
Pond8Fish6_PondOutcome,66
Pond8Fish6_TotalOutcome,504
Pond8Fish6_TimeLeft,697.067
Type,N
FishN,17
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,1.017
Pond8Fish7_PondTime,63.207
Pond8Fish7_PondOutcome,77
Pond8Fish7_TotalOutcome,515
Pond8Fish7_TimeLeft,685.775
PondEnd_LastFish,7
FishN,17
Type,N
GiveUpTime,0.813
PondTime,63.234
TimeLeft,685.243
PondOutcome,77
TotalOutcome,515
PondStart,PondStart
PondIntroTime,19.61887736339122
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,4.285714285714286
Pond1Fish1_CatchTime,1.184
Pond1Fish1_PondTime,8.942
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,526
Pond1Fish1_TimeLeft,656.058
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,4.615384615384615
Pond1Fish2_CatchTime,1.086
Pond1Fish2_PondTime,17.475
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,537
Pond1Fish2_TimeLeft,647.525
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,5
Pond1Fish3_CatchTime,1.809
Pond1Fish3_PondTime,26.713
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,548
Pond1Fish3_TimeLeft,638.287
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,5.454545454545454
Pond1Fish4_CatchTime,1.404
Pond1Fish4_PondTime,35.67
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,559
Pond1Fish4_TimeLeft,629.33
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,6
Pond1Fish5_CatchTime,1.109
Pond1Fish5_PondTime,46.486
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,570
Pond1Fish5_TimeLeft,618.514
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,6.666666666666667
Pond1Fish6_CatchTime,1.085
Pond1Fish6_PondTime,59.289
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,581
Pond1Fish6_TimeLeft,605.71
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,7.5
Pond1Fish7_CatchTime,0.944
Pond1Fish7_PondTime,71.476
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,592
Pond1Fish7_TimeLeft,593.524
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,8.571428571428571
Pond1Fish8_CatchTime,0.884
Pond1Fish8_PondTime,85.659
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,603
Pond1Fish8_TimeLeft,579.341
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,10
Pond1Fish9_CatchTime,1.334
Pond1Fish9_PondTime,100.039
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,614
Pond1Fish9_TimeLeft,564.961
PondEnd_LastFish,9
FishN,19
Type,N
GiveUpTime,15.413
PondTime,114.991
TimeLeft,549.504
PondOutcome,99
TotalOutcome,614
PondStart,PondStart
PondIntroTime,13.328730606008321
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.582
Pond11Fish1_PondTime,9.808
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,625
Pond11Fish1_TimeLeft,525.719
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,1.124
Pond11Fish2_PondTime,18.206
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,636
Pond11Fish2_TimeLeft,517.321
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,1.192
Pond11Fish3_PondTime,27.289
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,647
Pond11Fish3_TimeLeft,508.238
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,1.061
Pond11Fish4_PondTime,37.186
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,658
Pond11Fish4_TimeLeft,498.34
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,7.5
Pond11Fish5_CatchTime,1.022
Pond11Fish5_PondTime,48.151
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,669
Pond11Fish5_TimeLeft,487.376
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,8.571428571428571
Pond11Fish6_CatchTime,1.374
Pond11Fish6_PondTime,60.548
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,680
Pond11Fish6_TimeLeft,474.979
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,10
Pond11Fish7_CatchTime,1.179
Pond11Fish7_PondTime,74.945
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,691
Pond11Fish7_TimeLeft,460.582
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,12
Pond11Fish8_CatchTime,1.447
Pond11Fish8_PondTime,92.358
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,702
Pond11Fish8_TimeLeft,443.169
PondEnd_LastFish,8
FishN,14
Type,N
GiveUpTime,19.196
PondTime,111.192
TimeLeft,423.829
PondOutcome,88
TotalOutcome,702
PondStart,PondStart
PondIntroTime,15.591196028981358
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,5
Pond3Fish1_CatchTime,-1
Pond3Fish1_PondTime,9.963
Pond3Fish1_PondOutcome,0
Pond3Fish1_TotalOutcome,702
Pond3Fish1_TimeLeft,395.544
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,5.454545454545454
Pond3Fish2_CatchTime,0.835
Pond3Fish2_PondTime,18.36
Pond3Fish2_PondOutcome,12
Pond3Fish2_TotalOutcome,714
Pond3Fish2_TimeLeft,387.147
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,6
Pond3Fish3_CatchTime,1.09
Pond3Fish3_PondTime,27.441
Pond3Fish3_PondOutcome,14
Pond3Fish3_TotalOutcome,716
Pond3Fish3_TimeLeft,378.065
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,6.666666666666667
Pond3Fish4_CatchTime,0.792
Pond3Fish4_PondTime,37.356
Pond3Fish4_PondOutcome,26
Pond3Fish4_TotalOutcome,728
Pond3Fish4_TimeLeft,368.151
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,7.5
Pond3Fish5_CatchTime,1.979
Pond3Fish5_PondTime,48.627
Pond3Fish5_PondOutcome,38
Pond3Fish5_TotalOutcome,740
Pond3Fish5_TimeLeft,356.88
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,8.571428571428571
Pond3Fish6_CatchTime,1.244
Pond3Fish6_PondTime,61.034
Pond3Fish6_PondOutcome,50
Pond3Fish6_TotalOutcome,752
Pond3Fish6_TimeLeft,344.473
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,10
Pond3Fish7_CatchTime,0.966
Pond3Fish7_PondTime,75.431
Pond3Fish7_PondOutcome,62
Pond3Fish7_TotalOutcome,764
Pond3Fish7_TimeLeft,330.076
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,12
Pond3Fish8_CatchTime,1.297
Pond3Fish8_PondTime,92.845
Pond3Fish8_PondOutcome,74
Pond3Fish8_TotalOutcome,776
Pond3Fish8_TimeLeft,312.662
PondEnd_LastFish,8
FishN,19
Type,RD
GiveUpTime,1.187
PondTime,93.503
TimeLeft,311.5
PondOutcome,74
TotalOutcome,776
PondStart,PondStart
PondIntroTime,14.591772484127432
Type,RD
FishN,12
Fish,1
Pond2Fish1_FishType,blue
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.431
Pond2Fish1_PondTime,8.33
Pond2Fish1_PondOutcome,12
Pond2Fish1_TotalOutcome,788
Pond2Fish1_TimeLeft,287.965
Type,RD
FishN,12
Fish,2
Pond2Fish2_FishType,blue
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,1.26
Pond2Fish2_PondTime,15.008
Pond2Fish2_PondOutcome,24
Pond2Fish2_TotalOutcome,800
Pond2Fish2_TimeLeft,281.287
Type,RD
FishN,12
Fish,3
Pond2Fish3_FishType,blue
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,-1
Pond2Fish3_PondTime,22.096
Pond2Fish3_PondOutcome,24
Pond2Fish3_TotalOutcome,800
Pond2Fish3_TimeLeft,274.199
Type,RD
FishN,12
Fish,4
Pond2Fish4_FishType,blue
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,1.348
Pond2Fish4_PondTime,29.522
Pond2Fish4_PondOutcome,36
Pond2Fish4_TotalOutcome,812
Pond2Fish4_TimeLeft,266.773
Type,RD
FishN,12
Fish,5
Pond2Fish5_FishType,blue
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.196
Pond2Fish5_PondTime,37.373
Pond2Fish5_PondOutcome,48
Pond2Fish5_TotalOutcome,824
Pond2Fish5_TimeLeft,258.921
Type,RD
FishN,12
Fish,6
Pond2Fish6_FishType,blue
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,1.103
Pond2Fish6_PondTime,45.752
Pond2Fish6_PondOutcome,60
Pond2Fish6_TotalOutcome,836
Pond2Fish6_TimeLeft,250.543
Type,RD
FishN,12
Fish,7
Pond2Fish7_FishType,blue
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.273
Pond2Fish7_PondTime,54.809
Pond2Fish7_PondOutcome,72
Pond2Fish7_TotalOutcome,848
Pond2Fish7_TimeLeft,241.486
Type,RD
FishN,12
Fish,8
Pond2Fish8_FishType,blue
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,1.337
Pond2Fish8_PondTime,64.718
Pond2Fish8_PondOutcome,84
Pond2Fish8_TotalOutcome,860
Pond2Fish8_TimeLeft,231.577
Type,RD
FishN,12
Fish,9
Pond2Fish9_FishType,blue
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,-1
Pond2Fish9_PondTime,75.749
Pond2Fish9_PondOutcome,84
Pond2Fish9_TotalOutcome,860
Pond2Fish9_TimeLeft,220.546
PondEnd_LastFish,9
FishN,12
Type,RD
GiveUpTime,21.646
PondTime,85.899
TimeLeft,209.89
PondOutcome,84
TotalOutcome,860
PondStart,PondStart
PondIntroTime,14.908678270876408
Type,RD
FishN,19
Fish,1
