,5b7ebc73a09ccc0001316a2e
Type,RD
FishN,19
Fish,7
Pond6Fish7_FishType,blue
Pond6Fish7_FishLatency,5.454545454545454
Pond6Fish7_CatchTime,0.914
Pond6Fish7_PondTime,51.622
Pond6Fish7_PondOutcome,84
Pond6Fish7_TotalOutcome,84
Pond6Fish7_TimeLeft,1150.775
Type,RD
FishN,19
Fish,8
Pond6Fish8_FishType,blue
Pond6Fish8_FishLatency,6
Pond6Fish8_CatchTime,1.216
Pond6Fish8_PondTime,60.665
Pond6Fish8_PondOutcome,96
Pond6Fish8_TotalOutcome,96
Pond6Fish8_TimeLeft,1141.732
Type,RD
FishN,19
Fish,9
Pond6Fish9_FishType,blue
Pond6Fish9_FishLatency,6.666666666666667
Pond6Fish9_CatchTime,1.233
Pond6Fish9_PondTime,70.528
Pond6Fish9_PondOutcome,108
Pond6Fish9_TotalOutcome,108
Pond6Fish9_TimeLeft,1131.869
PondEnd_LastFish,9
FishN,19
Type,RD
GiveUpTime,9.182
PondTime,79.143
TimeLeft,1122.749
PondOutcome,108
TotalOutcome,108
PondStart,PondStart
PondIntroTime,15.27565618045628
Type,RT
FishN,17
Fish,1
Pond8Fish1_FishType,purple
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.198
Pond8Fish1_PondTime,7.622
Pond8Fish1_PondOutcome,10
Pond8Fish1_TotalOutcome,118
Pond8Fish1_TimeLeft,1099.236
Type,RT
FishN,17
Fish,2
Pond8Fish2_FishType,purple
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.197
Pond8Fish2_PondTime,13.529
Pond8Fish2_PondOutcome,20
Pond8Fish2_TotalOutcome,128
Pond8Fish2_TimeLeft,1093.328
Type,RT
FishN,17
Fish,3
Pond8Fish3_FishType,purple
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,0.776
Pond8Fish3_PondTime,19.658
Pond8Fish3_PondOutcome,30
Pond8Fish3_TotalOutcome,138
Pond8Fish3_TimeLeft,1087.2
Type,RT
FishN,17
Fish,4
Pond8Fish4_FishType,purple
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.786
Pond8Fish4_PondTime,26.038
Pond8Fish4_PondOutcome,40
Pond8Fish4_TotalOutcome,148
Pond8Fish4_TimeLeft,1080.819
Type,RT
FishN,17
Fish,5
Pond8Fish5_FishType,purple
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,0.796
Pond8Fish5_PondTime,32.71
Pond8Fish5_PondOutcome,50
Pond8Fish5_TotalOutcome,158
Pond8Fish5_TimeLeft,1074.148
Type,RT
FishN,17
Fish,6
Pond8Fish6_FishType,purple
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,0.552
Pond8Fish6_PondTime,39.694
Pond8Fish6_PondOutcome,60
Pond8Fish6_TotalOutcome,168
Pond8Fish6_TimeLeft,1067.163
Type,RT
FishN,17
Fish,7
Pond8Fish7_FishType,golden
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,1.598
Pond8Fish7_PondTime,47.082
Pond8Fish7_PondOutcome,80
Pond8Fish7_TotalOutcome,188
Pond8Fish7_TimeLeft,1059.776
Type,RT
FishN,17
Fish,8
Pond8Fish8_FishType,purple
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,0.853
Pond8Fish8_PondTime,54.908
Pond8Fish8_PondOutcome,90
Pond8Fish8_TotalOutcome,198
Pond8Fish8_TimeLeft,1051.95
PondEnd_LastFish,8
FishN,17
Type,RT
GiveUpTime,6.527
PondTime,60.481
TimeLeft,1045.872
PondOutcome,90
TotalOutcome,198
PondStart,PondStart
PondIntroTime,11.921821546275169
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,5
Pond12Fish1_CatchTime,1.008
Pond12Fish1_PondTime,9.742
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,208
Pond12Fish1_TimeLeft,1023.598
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,purple
Pond12Fish2_FishLatency,5.454545454545454
Pond12Fish2_CatchTime,1.025
Pond12Fish2_PondTime,18.126
Pond12Fish2_PondOutcome,20
Pond12Fish2_TotalOutcome,218
Pond12Fish2_TimeLeft,1015.214
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,6
Pond12Fish3_CatchTime,0.916
Pond12Fish3_PondTime,27.161
Pond12Fish3_PondOutcome,30
Pond12Fish3_TotalOutcome,228
Pond12Fish3_TimeLeft,1006.179
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,6.666666666666667
Pond12Fish4_CatchTime,0.746
Pond12Fish4_PondTime,37.036
Pond12Fish4_PondOutcome,40
Pond12Fish4_TotalOutcome,238
Pond12Fish4_TimeLeft,996.304
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,7.5
Pond12Fish5_CatchTime,1.063
Pond12Fish5_PondTime,47.98
Pond12Fish5_PondOutcome,50
Pond12Fish5_TotalOutcome,248
Pond12Fish5_TimeLeft,985.36
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,8.571428571428571
Pond12Fish6_CatchTime,0.678
Pond12Fish6_PondTime,60.364
Pond12Fish6_PondOutcome,60
Pond12Fish6_TotalOutcome,258
Pond12Fish6_TimeLeft,972.976
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,10
Pond12Fish7_CatchTime,1.206
Pond12Fish7_PondTime,74.745
Pond12Fish7_PondOutcome,70
Pond12Fish7_TotalOutcome,268
Pond12Fish7_TimeLeft,958.594
PondEnd_LastFish,7
FishN,13
Type,RT
GiveUpTime,0.698
PondTime,74.86
TimeLeft,957.974
PondOutcome,70
TotalOutcome,268
PondStart,PondStart
PondIntroTime,17.851801968645304
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4.285714285714286
Pond10Fish1_CatchTime,1.254
Pond10Fish1_PondTime,8.886
Pond10Fish1_PondOutcome,11
Pond10Fish1_TotalOutcome,279
Pond10Fish1_TimeLeft,930.611
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.615384615384615
Pond10Fish2_CatchTime,1.477
Pond10Fish2_PondTime,16.25
Pond10Fish2_PondOutcome,22
Pond10Fish2_TotalOutcome,290
Pond10Fish2_TimeLeft,923.248
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,5
Pond10Fish3_CatchTime,0.973
Pond10Fish3_PondTime,24.073
Pond10Fish3_PondOutcome,33
Pond10Fish3_TotalOutcome,301
Pond10Fish3_TimeLeft,915.425
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5.454545454545454
Pond10Fish4_CatchTime,0.866
Pond10Fish4_PondTime,32.438
Pond10Fish4_PondOutcome,44
Pond10Fish4_TotalOutcome,312
Pond10Fish4_TimeLeft,907.06
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,6
Pond10Fish5_CatchTime,1.034
Pond10Fish5_PondTime,41.484
Pond10Fish5_PondOutcome,55
Pond10Fish5_TotalOutcome,323
Pond10Fish5_TimeLeft,898.014
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6.666666666666667
Pond10Fish6_CatchTime,0.619
Pond10Fish6_PondTime,51.367
Pond10Fish6_PondOutcome,66
Pond10Fish6_TotalOutcome,334
Pond10Fish6_TimeLeft,888.131
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,7.5
Pond10Fish7_CatchTime,0.852
Pond10Fish7_PondTime,62.31
Pond10Fish7_PondOutcome,77
Pond10Fish7_TotalOutcome,345
Pond10Fish7_TimeLeft,877.188
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,8.571428571428571
Pond10Fish8_CatchTime,1.06
Pond10Fish8_PondTime,74.685
Pond10Fish8_PondOutcome,88
Pond10Fish8_TotalOutcome,356
Pond10Fish8_TimeLeft,864.813
PondEnd_LastFish,8
FishN,19
Type,N
GiveUpTime,0.814
PondTime,74.765
TimeLeft,864.227
PondOutcome,88
TotalOutcome,356
PondStart,PondStart
PondIntroTime,10.186106290202588
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,golden
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,0.723
Pond9Fish1_PondTime,8.106
Pond9Fish1_PondOutcome,20
Pond9Fish1_TotalOutcome,376
Pond9Fish1_TimeLeft,845.3
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,purple
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.285
Pond9Fish2_PondTime,15.481
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,386
Pond9Fish2_TimeLeft,837.925
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,purple
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,0.711
Pond9Fish3_PondTime,23.295
Pond9Fish3_PondOutcome,40
Pond9Fish3_TotalOutcome,396
Pond9Fish3_TimeLeft,830.111
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,0.697
Pond9Fish4_PondTime,31.669
Pond9Fish4_PondOutcome,50
Pond9Fish4_TotalOutcome,406
Pond9Fish4_TimeLeft,821.737
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,purple
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,0.952
Pond9Fish5_PondTime,40.712
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,416
Pond9Fish5_TimeLeft,812.694
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,0.707
Pond9Fish6_PondTime,50.584
Pond9Fish6_PondOutcome,70
Pond9Fish6_TotalOutcome,426
Pond9Fish6_TimeLeft,802.822
PondEnd_LastFish,6
FishN,16
Type,RT
GiveUpTime,1.134
PondTime,61.522
TimeLeft,791.381
PondOutcome,70
TotalOutcome,426
PondStart,PondStart
PondIntroTime,15.461099029053003
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,3.5294117647058822
Pond2Fish1_CatchTime,0.781
Pond2Fish1_PondTime,8.036
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,437
Pond2Fish1_TimeLeft,767.249
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,3.75
Pond2Fish2_CatchTime,0.76
Pond2Fish2_PondTime,14.398
Pond2Fish2_PondOutcome,22
Pond2Fish2_TotalOutcome,448
Pond2Fish2_TimeLeft,760.887
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,4
Pond2Fish3_CatchTime,0.638
Pond2Fish3_PondTime,21.072
Pond2Fish3_PondOutcome,33
Pond2Fish3_TotalOutcome,459
Pond2Fish3_TimeLeft,754.212
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,4.285714285714286
Pond2Fish4_CatchTime,0.916
Pond2Fish4_PondTime,28.063
Pond2Fish4_PondOutcome,44
Pond2Fish4_TotalOutcome,470
Pond2Fish4_TimeLeft,747.222
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,4.615384615384615
Pond2Fish5_CatchTime,0.955
Pond2Fish5_PondTime,35.446
Pond2Fish5_PondOutcome,55
Pond2Fish5_TotalOutcome,481
Pond2Fish5_TimeLeft,739.839
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,5
Pond2Fish6_CatchTime,0.661
Pond2Fish6_PondTime,43.283
Pond2Fish6_PondOutcome,66
Pond2Fish6_TotalOutcome,492
Pond2Fish6_TimeLeft,732.002
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,5.454545454545454
Pond2Fish7_CatchTime,0.665
Pond2Fish7_PondTime,51.667
Pond2Fish7_PondOutcome,77
Pond2Fish7_TotalOutcome,503
Pond2Fish7_TimeLeft,723.618
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,6
Pond2Fish8_CatchTime,0.647
Pond2Fish8_PondTime,60.707
Pond2Fish8_PondOutcome,88
Pond2Fish8_TotalOutcome,514
Pond2Fish8_TimeLeft,714.578
Type,N
FishN,12
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,6.666666666666667
Pond2Fish9_CatchTime,0.589
Pond2Fish9_PondTime,70.586
Pond2Fish9_PondOutcome,99
Pond2Fish9_TotalOutcome,525
Pond2Fish9_TimeLeft,704.698
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.397
PondTime,81.007
TimeLeft,693.774
PondOutcome,99
TotalOutcome,525
PondStart,PondStart
PondIntroTime,14.583336655050516
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.753
Pond7Fish1_PondTime,8.285
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,536
Pond7Fish1_TimeLeft,670.296
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.845
Pond7Fish2_PondTime,14.94
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,547
Pond7Fish2_TimeLeft,663.641
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.636
Pond7Fish3_PondTime,21.934
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,558
Pond7Fish3_TimeLeft,656.647
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.726
Pond7Fish4_PondTime,29.303
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,569
Pond7Fish4_TimeLeft,649.278
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,0.547
Pond7Fish5_PondTime,37.138
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,580
Pond7Fish5_TimeLeft,641.443
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5.454545454545454
Pond7Fish6_CatchTime,0.657
Pond7Fish6_PondTime,45.515
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,591
Pond7Fish6_TimeLeft,633.066
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,6
Pond7Fish7_CatchTime,0.622
Pond7Fish7_PondTime,54.547
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,602
Pond7Fish7_TimeLeft,624.034
PondEnd_LastFish,7
FishN,15
Type,N
GiveUpTime,0.703
PondTime,64.04
TimeLeft,614.034
PondOutcome,77
TotalOutcome,602
PondStart,PondStart
PondIntroTime,17.040662467479706
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,purple
Pond5Fish1_FishLatency,3.1578947368421053
Pond5Fish1_CatchTime,0.574
Pond5Fish1_PondTime,7.599
Pond5Fish1_PondOutcome,10
Pond5Fish1_TotalOutcome,612
Pond5Fish1_TimeLeft,588.774
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.3333333333333335
Pond5Fish2_CatchTime,0.742
Pond5Fish2_PondTime,13.485
Pond5Fish2_PondOutcome,20
Pond5Fish2_TotalOutcome,622
Pond5Fish2_TimeLeft,582.888
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.5294117647058822
Pond5Fish3_CatchTime,0.725
Pond5Fish3_PondTime,19.605
Pond5Fish3_PondOutcome,30
Pond5Fish3_TotalOutcome,632
Pond5Fish3_TimeLeft,576.768
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,3.75
Pond5Fish4_CatchTime,0.518
Pond5Fish4_PondTime,25.965
Pond5Fish4_PondOutcome,40
Pond5Fish4_TotalOutcome,642
Pond5Fish4_TimeLeft,570.408
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4
Pond5Fish5_CatchTime,0.713
Pond5Fish5_PondTime,32.627
Pond5Fish5_PondOutcome,50
Pond5Fish5_TotalOutcome,652
Pond5Fish5_TimeLeft,563.746
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.285714285714286
Pond5Fish6_CatchTime,0.664
Pond5Fish6_PondTime,39.636
Pond5Fish6_PondOutcome,60
Pond5Fish6_TotalOutcome,662
Pond5Fish6_TimeLeft,556.737
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,4.615384615384615
Pond5Fish7_CatchTime,1.166
Pond5Fish7_PondTime,47.011
Pond5Fish7_PondOutcome,70
Pond5Fish7_TotalOutcome,672
Pond5Fish7_TimeLeft,549.362
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5
Pond5Fish8_CatchTime,1.126
Pond5Fish8_PondTime,54.843
Pond5Fish8_PondOutcome,80
Pond5Fish8_TotalOutcome,682
Pond5Fish8_TimeLeft,541.53
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,5.454545454545454
Pond5Fish9_CatchTime,0.602
Pond5Fish9_PondTime,63.227
Pond5Fish9_PondOutcome,90
Pond5Fish9_TotalOutcome,692
Pond5Fish9_TimeLeft,533.146
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6
Pond5Fish10_CatchTime,0.712
Pond5Fish10_PondTime,72.276
Pond5Fish10_PondOutcome,100
Pond5Fish10_TotalOutcome,702
Pond5Fish10_TimeLeft,524.097
PondEnd_LastFish,10
FishN,12
Type,RT
GiveUpTime,0.397
PondTime,81.442
TimeLeft,514.425
PondOutcome,100
TotalOutcome,702
PondStart,PondStart
PondIntroTime,10.173611571080983
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4
Pond4Fish1_CatchTime,0.65
Pond4Fish1_PondTime,8.559
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,713
Pond4Fish1_TimeLeft,495.085
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.285714285714286
Pond4Fish2_CatchTime,0.656
Pond4Fish2_PondTime,15.543
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,724
Pond4Fish2_TimeLeft,488.101
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,4.615384615384615
Pond4Fish3_CatchTime,0.629
Pond4Fish3_PondTime,22.926
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,735
Pond4Fish3_TimeLeft,480.718
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5
Pond4Fish4_CatchTime,0.585
Pond4Fish4_PondTime,30.747
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,746
Pond4Fish4_TimeLeft,472.897
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,5.454545454545454
Pond4Fish5_CatchTime,0.721
Pond4Fish5_PondTime,39.126
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,757
Pond4Fish5_TimeLeft,464.518
PondEnd_LastFish,5
FishN,16
Type,N
GiveUpTime,1.08
PondTime,48.105
TimeLeft,455.034
PondOutcome,55
TotalOutcome,757
PondStart,PondStart
PondIntroTime,14.505201242864132
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.803
Pond3Fish1_PondTime,8.901
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,769
Pond3Fish1_TimeLeft,431.003
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,0.761
Pond3Fish2_PondTime,16.277
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,781
Pond3Fish2_TimeLeft,423.627
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,0.694
Pond3Fish3_PondTime,24.096
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,793
Pond3Fish3_TimeLeft,415.808
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,1.565
Pond3Fish4_PondTime,32.454
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,805
Pond3Fish4_TimeLeft,407.45
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.675
Pond3Fish5_PondTime,41.487
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,817
Pond3Fish5_TimeLeft,398.416
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.732
Pond3Fish6_PondTime,51.346
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,829
Pond3Fish6_TimeLeft,388.558
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.779
Pond3Fish7_PondTime,62.295
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,841
Pond3Fish7_TimeLeft,377.609
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,8.571428571428571
Pond3Fish8_CatchTime,0.877
Pond3Fish8_PondTime,74.681
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,853
Pond3Fish8_TimeLeft,365.223
PondEnd_LastFish,8
FishN,19
Type,RD
GiveUpTime,1.115
PondTime,74.876
TimeLeft,364.523
PondOutcome,96
TotalOutcome,853
PondStart,PondStart
PondIntroTime,18.94613078329712
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,5
Pond11Fish1_CatchTime,1.424
Pond11Fish1_PondTime,9.74
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,865
Pond11Fish1_TimeLeft,335.213
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,5.454545454545454
Pond11Fish2_CatchTime,0.805
Pond11Fish2_PondTime,18.102
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,877
Pond11Fish2_TimeLeft,326.85
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,6
Pond11Fish3_CatchTime,0.6
Pond11Fish3_PondTime,27.145
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,889
Pond11Fish3_TimeLeft,317.807
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,6.666666666666667
Pond11Fish4_CatchTime,0.533
Pond11Fish4_PondTime,37.027
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,901
