,5c94bac30955b70012a521ce
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.285714285714286
Pond7Fish4_CatchTime,1.025
Pond7Fish4_PondTime,28.965
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,44
Pond7Fish4_TimeLeft,1173.433
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.615384615384615
Pond7Fish5_CatchTime,1.351
Pond7Fish5_PondTime,36.353
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,55
Pond7Fish5_TimeLeft,1166.045
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,5
Pond7Fish6_CatchTime,1.521
Pond7Fish6_PondTime,44.191
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,66
Pond7Fish6_TimeLeft,1158.207
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5.454545454545454
Pond7Fish7_CatchTime,1.169
Pond7Fish7_PondTime,52.561
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,77
Pond7Fish7_TimeLeft,1149.836
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,6
Pond7Fish8_CatchTime,1.334
Pond7Fish8_PondTime,61.597
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,88
Pond7Fish8_TimeLeft,1140.801
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6.666666666666667
Pond7Fish9_CatchTime,1.32
Pond7Fish9_PondTime,71.468
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,99
Pond7Fish9_TimeLeft,1130.93
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,7.5
Pond7Fish10_CatchTime,1.336
Pond7Fish10_PondTime,82.441
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,110
Pond7Fish10_TimeLeft,1119.957
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,8.571428571428571
Pond7Fish11_CatchTime,1.307
Pond7Fish11_PondTime,94.825
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,121
Pond7Fish11_TimeLeft,1107.572
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,10
Pond7Fish12_CatchTime,1.512
Pond7Fish12_PondTime,109.197
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,132
Pond7Fish12_TimeLeft,1093.201
Type,N
FishN,15
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,12
Pond7Fish13_CatchTime,1.661
Pond7Fish13_PondTime,126.571
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,143
Pond7Fish13_TimeLeft,1075.827
Type,N
FishN,15
Fish,14
Pond7Fish14_FishType,green
Pond7Fish14_FishLatency,15
Pond7Fish14_CatchTime,1.42
Pond7Fish14_PondTime,148.948
Pond7Fish14_PondOutcome,154
Pond7Fish14_TotalOutcome,154
Pond7Fish14_TimeLeft,1053.45
Type,N
FishN,15
Fish,15
Pond7Fish15_FishType,green
Pond7Fish15_FishLatency,20
Pond7Fish15_CatchTime,1.225
Pond7Fish15_PondTime,181.325
Pond7Fish15_PondOutcome,165
Pond7Fish15_TotalOutcome,165
Pond7Fish15_TimeLeft,1021.073
PondEnd_LastFish,15
FishN,15
Type,N
GiveUpTime,1.302
PondTime,182.057
TimeLeft,1019.829
PondOutcome,165
TotalOutcome,165
PondStart,PondStart
PondIntroTime,17.737554146442562
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.519
Pond12Fish1_PondTime,8.566
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,176
Pond12Fish1_TimeLeft,992.897
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.361
Pond12Fish2_PondTime,15.572
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,187
Pond12Fish2_TimeLeft,985.891
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,0.905
Pond12Fish3_PondTime,22.957
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,198
Pond12Fish3_TimeLeft,978.506
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.006
Pond12Fish4_PondTime,30.808
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,209
Pond12Fish4_TimeLeft,970.655
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.921
Pond12Fish5_PondTime,39.181
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,220
Pond12Fish5_TimeLeft,962.282
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.137
Pond12Fish6_PondTime,48.231
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,231
Pond12Fish6_TimeLeft,953.232
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.035
Pond12Fish7_PondTime,58.104
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,242
Pond12Fish7_TimeLeft,943.359
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.187
Pond12Fish8_PondTime,69.061
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,253
Pond12Fish8_TimeLeft,932.402
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.392
Pond12Fish9_PondTime,81.43
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,264
Pond12Fish9_TimeLeft,920.033
Type,N
FishN,13
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.258
Pond12Fish10_PondTime,95.804
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,275
Pond12Fish10_TimeLeft,905.659
Type,N
FishN,13
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,1.16
Pond12Fish11_PondTime,113.174
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,286
Pond12Fish11_TimeLeft,888.289
Type,N
FishN,13
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,15
Pond12Fish12_CatchTime,1.362
Pond12Fish12_PondTime,135.548
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,297
Pond12Fish12_TimeLeft,865.915
PondEnd_LastFish,12
FishN,13
Type,N
GiveUpTime,3.346
PondTime,138.458
TimeLeft,862.498
PondOutcome,132
TotalOutcome,297
PondStart,PondStart
PondIntroTime,15.524647957645357
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,3.1578947368421053
Pond8Fish1_CatchTime,1.188
Pond8Fish1_PondTime,7.614
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,309
Pond8Fish1_TimeLeft,838.721
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,gray
Pond8Fish2_FishLatency,3.3333333333333335
Pond8Fish2_CatchTime,1.109
Pond8Fish2_PondTime,13.502
Pond8Fish2_PondOutcome,14
Pond8Fish2_TotalOutcome,311
Pond8Fish2_TimeLeft,832.832
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,gray
Pond8Fish3_FishLatency,3.5294117647058822
Pond8Fish3_CatchTime,1.051
Pond8Fish3_PondTime,19.619
Pond8Fish3_PondOutcome,16
Pond8Fish3_TotalOutcome,313
Pond8Fish3_TimeLeft,826.715
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,3.75
Pond8Fish4_CatchTime,0.952
Pond8Fish4_PondTime,26.019
Pond8Fish4_PondOutcome,28
Pond8Fish4_TotalOutcome,325
Pond8Fish4_TimeLeft,820.316
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,4
Pond8Fish5_CatchTime,1.012
Pond8Fish5_PondTime,32.674
Pond8Fish5_PondOutcome,40
Pond8Fish5_TotalOutcome,337
Pond8Fish5_TimeLeft,813.661
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,4.285714285714286
Pond8Fish6_CatchTime,1.124
Pond8Fish6_PondTime,39.659
Pond8Fish6_PondOutcome,52
Pond8Fish6_TotalOutcome,349
Pond8Fish6_TimeLeft,806.676
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,4.615384615384615
Pond8Fish7_CatchTime,0.7
Pond8Fish7_PondTime,47.028
Pond8Fish7_PondOutcome,64
Pond8Fish7_TotalOutcome,361
Pond8Fish7_TimeLeft,799.307
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,gray
Pond8Fish8_FishLatency,5
Pond8Fish8_CatchTime,1.184
Pond8Fish8_PondTime,54.868
Pond8Fish8_PondOutcome,66
Pond8Fish8_TotalOutcome,363
Pond8Fish8_TimeLeft,791.467
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,5.454545454545454
Pond8Fish9_CatchTime,0.951
Pond8Fish9_PondTime,63.244
Pond8Fish9_PondOutcome,78
Pond8Fish9_TotalOutcome,375
Pond8Fish9_TimeLeft,783.091
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,6
Pond8Fish10_CatchTime,0.954
Pond8Fish10_PondTime,72.271
Pond8Fish10_PondOutcome,90
Pond8Fish10_TotalOutcome,387
Pond8Fish10_TimeLeft,774.064
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,6.666666666666667
Pond8Fish11_CatchTime,1.029
Pond8Fish11_PondTime,82.142
Pond8Fish11_PondOutcome,102
Pond8Fish11_TotalOutcome,399
Pond8Fish11_TimeLeft,764.193
Type,RD
FishN,17
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,7.5
Pond8Fish12_CatchTime,1.138
Pond8Fish12_PondTime,93.084
Pond8Fish12_PondOutcome,114
Pond8Fish12_TotalOutcome,411
Pond8Fish12_TimeLeft,753.251
Type,RD
FishN,17
Fish,13
Pond8Fish13_FishType,blue
Pond8Fish13_FishLatency,8.571428571428571
Pond8Fish13_CatchTime,1.199
Pond8Fish13_PondTime,105.454
Pond8Fish13_PondOutcome,126
Pond8Fish13_TotalOutcome,423
Pond8Fish13_TimeLeft,740.881
Type,RD
FishN,17
Fish,14
Pond8Fish14_FishType,blue
Pond8Fish14_FishLatency,10
Pond8Fish14_CatchTime,1.173
Pond8Fish14_PondTime,119.825
Pond8Fish14_PondOutcome,138
Pond8Fish14_TotalOutcome,435
Pond8Fish14_TimeLeft,726.51
Type,RD
FishN,17
Fish,15
Pond8Fish15_FishType,blue
Pond8Fish15_FishLatency,12
Pond8Fish15_CatchTime,1.046
Pond8Fish15_PondTime,137.195
Pond8Fish15_PondOutcome,150
Pond8Fish15_TotalOutcome,447
Pond8Fish15_TimeLeft,709.14
Type,RD
FishN,17
Fish,16
Pond8Fish16_FishType,blue
Pond8Fish16_FishLatency,15
Pond8Fish16_CatchTime,1.202
Pond8Fish16_PondTime,159.587
Pond8Fish16_PondOutcome,162
Pond8Fish16_TotalOutcome,459
Pond8Fish16_TimeLeft,686.748
Type,RD
FishN,17
Fish,17
Pond8Fish17_FishType,blue
Pond8Fish17_FishLatency,20
Pond8Fish17_CatchTime,1.297
Pond8Fish17_PondTime,191.951
Pond8Fish17_PondOutcome,174
Pond8Fish17_TotalOutcome,471
Pond8Fish17_TimeLeft,654.384
PondEnd_LastFish,17
FishN,17
Type,RD
GiveUpTime,0.981
PondTime,192.433
TimeLeft,653.392
PondOutcome,174
TotalOutcome,471
PondStart,PondStart
PondIntroTime,19.930101053323597
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.5294117647058822
Pond9Fish1_CatchTime,1.062
Pond9Fish1_PondTime,8.048
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,482
Pond9Fish1_TimeLeft,624.508
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.75
Pond9Fish2_CatchTime,1.061
Pond9Fish2_PondTime,14.435
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,493
Pond9Fish2_TimeLeft,618.121
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,4
Pond9Fish3_CatchTime,1.169
Pond9Fish3_PondTime,21.108
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,504
Pond9Fish3_TimeLeft,611.447
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,4.285714285714286
Pond9Fish4_CatchTime,0.955
Pond9Fish4_PondTime,28.09
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,515
Pond9Fish4_TimeLeft,604.466
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4.615384615384615
Pond9Fish5_CatchTime,1.239
Pond9Fish5_PondTime,35.46
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,526
Pond9Fish5_TimeLeft,597.096
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,5
Pond9Fish6_CatchTime,1.147
Pond9Fish6_PondTime,43.294
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,537
Pond9Fish6_TimeLeft,589.262
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,5.454545454545454
Pond9Fish7_CatchTime,1.257
Pond9Fish7_PondTime,51.668
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,548
Pond9Fish7_TimeLeft,580.888
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,6
Pond9Fish8_CatchTime,1.119
Pond9Fish8_PondTime,60.718
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,559
Pond9Fish8_TimeLeft,571.838
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,6.666666666666667
Pond9Fish9_CatchTime,1.169
Pond9Fish9_PondTime,70.606
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,570
Pond9Fish9_TimeLeft,561.949
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,7.5
Pond9Fish10_CatchTime,1.037
Pond9Fish10_PondTime,82.906
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,581
Pond9Fish10_TimeLeft,549.649
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,8.571428571428571
Pond9Fish11_CatchTime,0.917
Pond9Fish11_PondTime,96.724
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,592
Pond9Fish11_TimeLeft,535.832
Type,N
FishN,16
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,10
Pond9Fish12_CatchTime,1.524
Pond9Fish12_PondTime,111.089
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,603
Pond9Fish12_TimeLeft,521.467
Type,N
FishN,16
Fish,13
Pond9Fish13_FishType,green
Pond9Fish13_FishLatency,12
Pond9Fish13_CatchTime,1.298
Pond9Fish13_PondTime,128.462
Pond9Fish13_PondOutcome,143
Pond9Fish13_TotalOutcome,614
Pond9Fish13_TimeLeft,504.094
PondEnd_LastFish,13
FishN,16
Type,N
GiveUpTime,1.074
PondTime,129.033
TimeLeft,503.099
PondOutcome,143
TotalOutcome,614
PondEnd_LastFish,13
FishN,16
Type,N
GiveUpTime,1.074
PondTime,129.033
TimeLeft,503.019
PondOutcome,143
TotalOutcome,614
PondStart,PondStart
PondIntroTime,16.64059107657522
PondStart,PondStart
PondIntroTime,16.64059107657522
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.799
Pond3Fish2_PondTime,8.61
Pond3Fish2_PondOutcome,12
Pond3Fish2_TotalOutcome,626
Pond3Fish2_TimeLeft,477.217
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,-1
Pond3Fish2_PondTime,8.693
Pond3Fish2_PondOutcome,12
Pond3Fish2_TotalOutcome,626
Pond3Fish2_TimeLeft,477.134
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.37
Pond3Fish4_PondTime,15.998
Pond3Fish4_PondOutcome,24
Pond3Fish4_TotalOutcome,638
Pond3Fish4_TimeLeft,469.829
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,-1
Pond3Fish4_PondTime,16.065
Pond3Fish4_PondOutcome,24
Pond3Fish4_TotalOutcome,638
Pond3Fish4_TimeLeft,469.762
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.992
Pond3Fish6_PondTime,24.382
Pond3Fish6_PondOutcome,36
Pond3Fish6_TotalOutcome,650
Pond3Fish6_TimeLeft,461.445
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,-1
Pond3Fish6_PondTime,24.383
Pond3Fish6_PondOutcome,36
Pond3Fish6_TotalOutcome,650
Pond3Fish6_TimeLeft,461.444
PondEnd_LastFish,6
FishN,19
Type,RD
GiveUpTime,8.838
PondTime,32.418
TimeLeft,452.907
PondOutcome,36
TotalOutcome,650
PondStart,PondStart
PondIntroTime,14.564088431652635
Type,RT
FishN,19
Fish,1
Pond10Fish1_FishType,golden
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,0.806
Pond10Fish1_PondTime,8.567
Pond10Fish1_PondOutcome,20
Pond10Fish1_TotalOutcome,670
Pond10Fish1_TimeLeft,429.133
Type,RT
FishN,19
Fish,2
Pond10Fish2_FishType,purple
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,1.154
Pond10Fish2_PondTime,15.57
Pond10Fish2_PondOutcome,30
Pond10Fish2_TotalOutcome,680
Pond10Fish2_TimeLeft,422.13
Type,RT
FishN,19
Fish,3
Pond10Fish3_FishType,purple
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,1.289
Pond10Fish3_PondTime,22.957
Pond10Fish3_PondOutcome,40
Pond10Fish3_TotalOutcome,690
Pond10Fish3_TimeLeft,414.743
Type,RT
FishN,19
Fish,4
Pond10Fish4_FishType,purple
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,1.021
Pond10Fish4_PondTime,30.792
Pond10Fish4_PondOutcome,50
Pond10Fish4_TotalOutcome,700
Pond10Fish4_TimeLeft,406.908
Type,RT
FishN,19
Fish,5
Pond10Fish5_FishType,purple
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,0.954
Pond10Fish5_PondTime,39.195
Pond10Fish5_PondOutcome,60
Pond10Fish5_TotalOutcome,710
Pond10Fish5_TimeLeft,398.505
Type,RT
FishN,19
Fish,6
Pond10Fish6_FishType,purple
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.862
Pond10Fish6_PondTime,48.251
Pond10Fish6_PondOutcome,70
Pond10Fish6_TotalOutcome,720
Pond10Fish6_TimeLeft,389.448
Type,RT
FishN,19
Fish,7
Pond10Fish7_FishType,golden
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.856
Pond10Fish7_PondTime,58.136
Pond10Fish7_PondOutcome,90
Pond10Fish7_TotalOutcome,740
Pond10Fish7_TimeLeft,379.564
Type,RT
FishN,19
Fish,8
Pond10Fish8_FishType,golden
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,1.669
Pond10Fish8_PondTime,69.091
Pond10Fish8_PondOutcome,110
Pond10Fish8_TotalOutcome,760
Pond10Fish8_TimeLeft,368.609
Type,RT
FishN,19
Fish,9
Pond10Fish9_FishType,purple
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.014
Pond10Fish9_PondTime,81.476
Pond10Fish9_PondOutcome,120
Pond10Fish9_TotalOutcome,770
Pond10Fish9_TimeLeft,356.224
Type,RT
FishN,19
Fish,10
Pond10Fish10_FishType,golden
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,0.962
Pond10Fish10_PondTime,95.852
Pond10Fish10_PondOutcome,140
Pond10Fish10_TotalOutcome,790
Pond10Fish10_TimeLeft,341.848
Type,RT
FishN,19
Fish,11
Pond10Fish11_FishType,purple
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,1.025
Pond10Fish11_PondTime,113.223
Pond10Fish11_PondOutcome,150
Pond10Fish11_TotalOutcome,800
Pond10Fish11_TimeLeft,324.477
Type,RT
FishN,19
Fish,12
Pond10Fish12_FishType,purple
Pond10Fish12_FishLatency,15
Pond10Fish12_CatchTime,1.051
Pond10Fish12_PondTime,135.597
Pond10Fish12_PondOutcome,160
Pond10Fish12_TotalOutcome,810
Pond10Fish12_TimeLeft,302.103
Type,RT
FishN,19
Fish,13
Pond10Fish13_FishType,purple
Pond10Fish13_FishLatency,20
Pond10Fish13_CatchTime,0.971
Pond10Fish13_PondTime,167.976
Pond10Fish13_PondOutcome,170
Pond10Fish13_TotalOutcome,820
Pond10Fish13_TimeLeft,269.723
Type,RT
FishN,19
Fish,14
Pond10Fish14_FishType,purple
Pond10Fish14_FishLatency,30
Pond10Fish14_CatchTime,1.146
Pond10Fish14_PondTime,230.368
Pond10Fish14_PondOutcome,180
Pond10Fish14_TotalOutcome,830
Pond10Fish14_TimeLeft,207.332
Type,RT
FishN,19
Fish,15
Pond10Fish15_FishType,purple
Pond10Fish15_FishLatency,60
Pond10Fish15_CatchTime,1.396
Pond10Fish15_PondTime,232.738
Pond10Fish15_PondOutcome,190
Pond10Fish15_TotalOutcome,840
Pond10Fish15_TimeLeft,204.962
PondEnd_LastFish,15
FishN,19
Type,RT
GiveUpTime,6.279
PondTime,238.613
TimeLeft,198.581
PondOutcome,190
TotalOutcome,840
PondStart,PondStart
PondIntroTime,18.464897638186812
Type,RT
FishN,19
Fish,1
Pond6Fish1_FishType,purple
Pond6Fish1_FishLatency,3.1578947368421053
Pond6Fish1_CatchTime,1.088
Pond6Fish1_PondTime,7.628
Pond6Fish1_PondOutcome,10
Pond6Fish1_TotalOutcome,850
Pond6Fish1_TimeLeft,171.867
Type,RT
FishN,19
Fish,2
Pond6Fish2_FishType,golden
Pond6Fish2_FishLatency,3.3333333333333335
Pond6Fish2_CatchTime,1.011
Pond6Fish2_PondTime,13.527
Pond6Fish2_PondOutcome,30
Pond6Fish2_TotalOutcome,870
Pond6Fish2_TimeLeft,165.968
Type,RT
FishN,19
Fish,3
Pond6Fish3_FishType,purple
Pond6Fish3_FishLatency,3.5294117647058822
Pond6Fish3_CatchTime,0.954
Pond6Fish3_PondTime,19.663
Pond6Fish3_PondOutcome,40
Pond6Fish3_TotalOutcome,880
Pond6Fish3_TimeLeft,159.832
Type,RT
FishN,19
Fish,4
Pond6Fish4_FishType,purple
Pond6Fish4_FishLatency,3.75
Pond6Fish4_CatchTime,1.153
Pond6Fish4_PondTime,26.05
Pond6Fish4_PondOutcome,50
Pond6Fish4_TotalOutcome,890
Pond6Fish4_TimeLeft,153.444
Type,RT
FishN,19
Fish,5
Pond6Fish5_FishType,purple
Pond6Fish5_FishLatency,4
Pond6Fish5_CatchTime,1.11
Pond6Fish5_PondTime,32.708
Pond6Fish5_PondOutcome,60
Pond6Fish5_TotalOutcome,900
Pond6Fish5_TimeLeft,146.787
Type,RT
FishN,19
Fish,6
Pond6Fish6_FishType,purple
Pond6Fish6_FishLatency,4.285714285714286
Pond6Fish6_CatchTime,1.072
Pond6Fish6_PondTime,39.691
Pond6Fish6_PondOutcome,70
Pond6Fish6_TotalOutcome,910
Pond6Fish6_TimeLeft,139.804
Type,RT
FishN,19
Fish,7
Pond6Fish7_FishType,purple
Pond6Fish7_FishLatency,4.615384615384615
Pond6Fish7_CatchTime,1.387
