,5c0d39b34bc2690001b65ade
Pond2Fish10_CatchTime,1.063
Pond2Fish10_PondTime,81.397
Pond2Fish10_PondOutcome,100
Pond2Fish10_TotalOutcome,100
Pond2Fish10_TimeLeft,1121.001
Type,RD
FishN,12
Fish,11
Pond2Fish11_FishType,blue
Pond2Fish11_FishLatency,8.571428571428571
Pond2Fish11_CatchTime,1.235
Pond2Fish11_PondTime,93.761
Pond2Fish11_PondOutcome,112
Pond2Fish11_TotalOutcome,112
Pond2Fish11_TimeLeft,1108.637
PondEnd_LastFish,11
FishN,12
Type,RD
GiveUpTime,0.936
PondTime,94.145
TimeLeft,1107.75
PondOutcome,112
TotalOutcome,112
PondStart,PondStart
PondIntroTime,17.259017957840115
Type,N
FishN,17
Fish,1
Pond8Fish1_FishType,green
Pond8Fish1_FishLatency,3.75
Pond8Fish1_CatchTime,-1
Pond8Fish1_PondTime,8.332
Pond8Fish1_PondOutcome,0
Pond8Fish1_TotalOutcome,112
Pond8Fish1_TimeLeft,1081.526
Type,N
FishN,17
Fish,2
Pond8Fish2_FishType,green
Pond8Fish2_FishLatency,4
Pond8Fish2_CatchTime,0.837
Pond8Fish2_PondTime,14.98
Pond8Fish2_PondOutcome,11
Pond8Fish2_TotalOutcome,123
Pond8Fish2_TimeLeft,1074.878
Type,N
FishN,17
Fish,3
Pond8Fish3_FishType,green
Pond8Fish3_FishLatency,4.285714285714286
Pond8Fish3_CatchTime,0.913
Pond8Fish3_PondTime,21.961
Pond8Fish3_PondOutcome,22
Pond8Fish3_TotalOutcome,134
Pond8Fish3_TimeLeft,1067.897
Type,N
FishN,17
Fish,4
Pond8Fish4_FishType,green
Pond8Fish4_FishLatency,4.615384615384615
Pond8Fish4_CatchTime,0.663
Pond8Fish4_PondTime,29.326
Pond8Fish4_PondOutcome,33
Pond8Fish4_TotalOutcome,145
Pond8Fish4_TimeLeft,1060.531
Type,N
FishN,17
Fish,5
Pond8Fish5_FishType,green
Pond8Fish5_FishLatency,5
Pond8Fish5_CatchTime,1.178
Pond8Fish5_PondTime,37.143
Pond8Fish5_PondOutcome,44
Pond8Fish5_TotalOutcome,156
Pond8Fish5_TimeLeft,1052.715
Type,N
FishN,17
Fish,6
Pond8Fish6_FishType,green
Pond8Fish6_FishLatency,5.454545454545454
Pond8Fish6_CatchTime,0.606
Pond8Fish6_PondTime,45.505
Pond8Fish6_PondOutcome,55
Pond8Fish6_TotalOutcome,167
Pond8Fish6_TimeLeft,1044.353
Type,N
FishN,17
Fish,7
Pond8Fish7_FishType,green
Pond8Fish7_FishLatency,6
Pond8Fish7_CatchTime,0.559
Pond8Fish7_PondTime,54.537
Pond8Fish7_PondOutcome,66
Pond8Fish7_TotalOutcome,178
Pond8Fish7_TimeLeft,1035.321
Type,N
FishN,17
Fish,8
Pond8Fish8_FishType,green
Pond8Fish8_FishLatency,6.666666666666667
Pond8Fish8_CatchTime,0.672
Pond8Fish8_PondTime,64.401
Pond8Fish8_PondOutcome,77
Pond8Fish8_TotalOutcome,189
Pond8Fish8_TimeLeft,1025.457
Type,N
FishN,17
Fish,9
Pond8Fish9_FishType,green
Pond8Fish9_FishLatency,7.5
Pond8Fish9_CatchTime,1.988
Pond8Fish9_PondTime,75.633
Pond8Fish9_PondOutcome,88
Pond8Fish9_TotalOutcome,200
Pond8Fish9_TimeLeft,1014.225
Type,N
FishN,17
Fish,10
Pond8Fish10_FishType,green
Pond8Fish10_FishLatency,8.571428571428571
Pond8Fish10_CatchTime,0.688
Pond8Fish10_PondTime,87.994
Pond8Fish10_PondOutcome,99
Pond8Fish10_TotalOutcome,211
Pond8Fish10_TimeLeft,1001.864
Type,N
FishN,17
Fish,11
Pond8Fish11_FishType,green
Pond8Fish11_FishLatency,10
Pond8Fish11_CatchTime,0.932
Pond8Fish11_PondTime,102.356
Pond8Fish11_PondOutcome,110
Pond8Fish11_TotalOutcome,222
Pond8Fish11_TimeLeft,987.502
Type,N
FishN,17
Fish,12
Pond8Fish12_FishType,green
Pond8Fish12_FishLatency,12
Pond8Fish12_CatchTime,0.951
Pond8Fish12_PondTime,119.718
Pond8Fish12_PondOutcome,121
Pond8Fish12_TotalOutcome,233
Pond8Fish12_TimeLeft,970.14
PondEnd_LastFish,12
FishN,17
Type,N
GiveUpTime,1.167
PondTime,120.051
TimeLeft,969.306
PondOutcome,121
TotalOutcome,233
PondStart,PondStart
PondIntroTime,10.347569598816335
Type,RT
FishN,16
Fish,1
Pond9Fish1_FishType,purple
Pond9Fish1_FishLatency,4
Pond9Fish1_CatchTime,0.948
Pond9Fish1_PondTime,8.566
Pond9Fish1_PondOutcome,10
Pond9Fish1_TotalOutcome,243
Pond9Fish1_TimeLeft,949.744
Type,RT
FishN,16
Fish,2
Pond9Fish2_FishType,golden
Pond9Fish2_FishLatency,4.285714285714286
Pond9Fish2_CatchTime,0.674
Pond9Fish2_PondTime,15.546
Pond9Fish2_PondOutcome,30
Pond9Fish2_TotalOutcome,263
Pond9Fish2_TimeLeft,942.764
Type,RT
FishN,16
Fish,3
Pond9Fish3_FishType,golden
Pond9Fish3_FishLatency,4.615384615384615
Pond9Fish3_CatchTime,0.895
Pond9Fish3_PondTime,22.911
Pond9Fish3_PondOutcome,50
Pond9Fish3_TotalOutcome,283
Pond9Fish3_TimeLeft,935.399
Type,RT
FishN,16
Fish,4
Pond9Fish4_FishType,purple
Pond9Fish4_FishLatency,5
Pond9Fish4_CatchTime,1.068
Pond9Fish4_PondTime,30.727
Pond9Fish4_PondOutcome,60
Pond9Fish4_TotalOutcome,293
Pond9Fish4_TimeLeft,927.582
Type,RT
FishN,16
Fish,5
Pond9Fish5_FishType,golden
Pond9Fish5_FishLatency,5.454545454545454
Pond9Fish5_CatchTime,0.492
Pond9Fish5_PondTime,39.093
Pond9Fish5_PondOutcome,80
Pond9Fish5_TotalOutcome,313
Pond9Fish5_TimeLeft,919.217
Type,RT
FishN,16
Fish,6
Pond9Fish6_FishType,purple
Pond9Fish6_FishLatency,6
Pond9Fish6_CatchTime,0.725
Pond9Fish6_PondTime,48.124
Pond9Fish6_PondOutcome,90
Pond9Fish6_TotalOutcome,323
Pond9Fish6_TimeLeft,910.186
Type,RT
FishN,16
Fish,7
Pond9Fish7_FishType,purple
Pond9Fish7_FishLatency,6.666666666666667
Pond9Fish7_CatchTime,0.676
Pond9Fish7_PondTime,57.986
Pond9Fish7_PondOutcome,100
Pond9Fish7_TotalOutcome,333
Pond9Fish7_TimeLeft,900.324
Type,RT
FishN,16
Fish,8
Pond9Fish8_FishType,purple
Pond9Fish8_FishLatency,7.5
Pond9Fish8_CatchTime,0.879
Pond9Fish8_PondTime,68.919
Pond9Fish8_PondOutcome,110
Pond9Fish8_TotalOutcome,343
Pond9Fish8_TimeLeft,889.39
Type,RT
FishN,16
Fish,9
Pond9Fish9_FishType,purple
Pond9Fish9_FishLatency,8.571428571428571
Pond9Fish9_CatchTime,1.021
Pond9Fish9_PondTime,81.28
Pond9Fish9_PondOutcome,120
Pond9Fish9_TotalOutcome,353
Pond9Fish9_TimeLeft,877.03
Type,RT
FishN,16
Fish,10
Pond9Fish10_FishType,purple
Pond9Fish10_FishLatency,10
Pond9Fish10_CatchTime,0.777
Pond9Fish10_PondTime,95.644
Pond9Fish10_PondOutcome,130
Pond9Fish10_TotalOutcome,363
Pond9Fish10_TimeLeft,862.666
Type,RT
FishN,16
Fish,11
Pond9Fish11_FishType,purple
Pond9Fish11_FishLatency,12
Pond9Fish11_CatchTime,0.93
Pond9Fish11_PondTime,113.006
Pond9Fish11_PondOutcome,140
Pond9Fish11_TotalOutcome,373
Pond9Fish11_TimeLeft,845.304
Type,RT
FishN,16
Fish,12
Pond9Fish12_FishType,purple
Pond9Fish12_FishLatency,15
Pond9Fish12_CatchTime,1.131
Pond9Fish12_PondTime,135.366
Pond9Fish12_PondOutcome,150
Pond9Fish12_TotalOutcome,383
Pond9Fish12_TimeLeft,822.944
PondEnd_LastFish,12
FishN,16
Type,RT
GiveUpTime,0.967
PondTime,135.665
TimeLeft,822.143
PondOutcome,150
TotalOutcome,383
PondStart,PondStart
PondIntroTime,18.09112775605172
Type,N
FishN,14
Fish,1
Pond11Fish1_FishType,green
Pond11Fish1_FishLatency,4.285714285714286
Pond11Fish1_CatchTime,0.988
Pond11Fish1_PondTime,8.881
Pond11Fish1_PondOutcome,11
Pond11Fish1_TotalOutcome,394
Pond11Fish1_TimeLeft,794.551
Type,N
FishN,14
Fish,2
Pond11Fish2_FishType,green
Pond11Fish2_FishLatency,4.615384615384615
Pond11Fish2_CatchTime,0.759
Pond11Fish2_PondTime,16.252
Pond11Fish2_PondOutcome,22
Pond11Fish2_TotalOutcome,405
Pond11Fish2_TimeLeft,787.179
Type,N
FishN,14
Fish,3
Pond11Fish3_FishType,green
Pond11Fish3_FishLatency,5
Pond11Fish3_CatchTime,0.696
Pond11Fish3_PondTime,24.08
Pond11Fish3_PondOutcome,33
Pond11Fish3_TotalOutcome,416
Pond11Fish3_TimeLeft,779.352
Type,N
FishN,14
Fish,4
Pond11Fish4_FishType,green
Pond11Fish4_FishLatency,5.454545454545454
Pond11Fish4_CatchTime,0.697
Pond11Fish4_PondTime,32.442
Pond11Fish4_PondOutcome,44
Pond11Fish4_TotalOutcome,427
Pond11Fish4_TimeLeft,770.99
Type,N
FishN,14
Fish,5
Pond11Fish5_FishType,green
Pond11Fish5_FishLatency,6
Pond11Fish5_CatchTime,0.918
Pond11Fish5_PondTime,41.475
Pond11Fish5_PondOutcome,55
Pond11Fish5_TotalOutcome,438
Pond11Fish5_TimeLeft,761.957
Type,N
FishN,14
Fish,6
Pond11Fish6_FishType,green
Pond11Fish6_FishLatency,6.666666666666667
Pond11Fish6_CatchTime,1.106
Pond11Fish6_PondTime,51.349
Pond11Fish6_PondOutcome,66
Pond11Fish6_TotalOutcome,449
Pond11Fish6_TimeLeft,752.083
Type,N
FishN,14
Fish,7
Pond11Fish7_FishType,green
Pond11Fish7_FishLatency,7.5
Pond11Fish7_CatchTime,0.785
Pond11Fish7_PondTime,62.285
Pond11Fish7_PondOutcome,77
Pond11Fish7_TotalOutcome,460
Pond11Fish7_TimeLeft,741.147
Type,N
FishN,14
Fish,8
Pond11Fish8_FishType,green
Pond11Fish8_FishLatency,8.571428571428571
Pond11Fish8_CatchTime,0.844
Pond11Fish8_PondTime,74.649
Pond11Fish8_PondOutcome,88
Pond11Fish8_TotalOutcome,471
Pond11Fish8_TimeLeft,728.783
Type,N
FishN,14
Fish,9
Pond11Fish9_FishType,green
Pond11Fish9_FishLatency,10
Pond11Fish9_CatchTime,0.851
Pond11Fish9_PondTime,89.012
Pond11Fish9_PondOutcome,99
Pond11Fish9_TotalOutcome,482
Pond11Fish9_TimeLeft,714.42
Type,N
FishN,14
Fish,10
Pond11Fish10_FishType,green
Pond11Fish10_FishLatency,12
Pond11Fish10_CatchTime,1.03
Pond11Fish10_PondTime,106.374
Pond11Fish10_PondOutcome,110
Pond11Fish10_TotalOutcome,493
Pond11Fish10_TimeLeft,697.058
PondEnd_LastFish,10
FishN,14
Type,N
GiveUpTime,1.306
PondTime,106.911
TimeLeft,696.019
PondOutcome,110
TotalOutcome,493
PondStart,PondStart
PondIntroTime,19.226419390179217
Type,N
FishN,13
Fish,1
Pond12Fish1_FishType,green
Pond12Fish1_FishLatency,3.1578947368421053
Pond12Fish1_CatchTime,0.811
Pond12Fish1_PondTime,7.615
Pond12Fish1_PondOutcome,11
Pond12Fish1_TotalOutcome,504
Pond12Fish1_TimeLeft,668.566
Type,N
FishN,13
Fish,2
Pond12Fish2_FishType,green
Pond12Fish2_FishLatency,3.3333333333333335
Pond12Fish2_CatchTime,1.024
Pond12Fish2_PondTime,13.514
Pond12Fish2_PondOutcome,22
Pond12Fish2_TotalOutcome,515
Pond12Fish2_TimeLeft,662.667
Type,N
FishN,13
Fish,3
Pond12Fish3_FishType,green
Pond12Fish3_FishLatency,3.5294117647058822
Pond12Fish3_CatchTime,0.655
Pond12Fish3_PondTime,19.63
Pond12Fish3_PondOutcome,33
Pond12Fish3_TotalOutcome,526
Pond12Fish3_TimeLeft,656.551
Type,N
FishN,13
Fish,4
Pond12Fish4_FishType,green
Pond12Fish4_FishLatency,3.75
Pond12Fish4_CatchTime,0.919
Pond12Fish4_PondTime,25.994
Pond12Fish4_PondOutcome,44
Pond12Fish4_TotalOutcome,537
Pond12Fish4_TimeLeft,650.187
Type,N
FishN,13
Fish,5
Pond12Fish5_FishType,green
Pond12Fish5_FishLatency,4
Pond12Fish5_CatchTime,0.651
Pond12Fish5_PondTime,32.643
Pond12Fish5_PondOutcome,55
Pond12Fish5_TotalOutcome,548
Pond12Fish5_TimeLeft,643.538
Type,N
FishN,13
Fish,6
Pond12Fish6_FishType,green
Pond12Fish6_FishLatency,4.285714285714286
Pond12Fish6_CatchTime,0.64
Pond12Fish6_PondTime,39.625
Pond12Fish6_PondOutcome,66
Pond12Fish6_TotalOutcome,559
Pond12Fish6_TimeLeft,636.556
Type,N
FishN,13
Fish,7
Pond12Fish7_FishType,green
Pond12Fish7_FishLatency,4.615384615384615
Pond12Fish7_CatchTime,0.881
Pond12Fish7_PondTime,46.99
Pond12Fish7_PondOutcome,77
Pond12Fish7_TotalOutcome,570
Pond12Fish7_TimeLeft,629.191
Type,N
FishN,13
Fish,8
Pond12Fish8_FishType,green
Pond12Fish8_FishLatency,5
Pond12Fish8_CatchTime,0.661
Pond12Fish8_PondTime,54.804
Pond12Fish8_PondOutcome,88
Pond12Fish8_TotalOutcome,581
Pond12Fish8_TimeLeft,621.377
Type,N
FishN,13
Fish,9
Pond12Fish9_FishType,green
Pond12Fish9_FishLatency,5.454545454545454
Pond12Fish9_CatchTime,1.306
Pond12Fish9_PondTime,63.169
Pond12Fish9_PondOutcome,99
Pond12Fish9_TotalOutcome,592
Pond12Fish9_TimeLeft,613.012
Type,N
FishN,13
Fish,10
Pond12Fish10_FishType,green
Pond12Fish10_FishLatency,6
Pond12Fish10_CatchTime,0.7
Pond12Fish10_PondTime,72.2
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,603
Pond12Fish10_TimeLeft,603.981
Type,N
FishN,13
Fish,11
Pond12Fish11_FishType,green
Pond12Fish11_FishLatency,6.666666666666667
Pond12Fish11_CatchTime,0.637
Pond12Fish11_PondTime,82.063
Pond12Fish11_PondOutcome,121
Pond12Fish11_TotalOutcome,614
Pond12Fish11_TimeLeft,594.118
Type,N
FishN,13
Fish,12
Pond12Fish12_FishType,green
Pond12Fish12_FishLatency,7.5
Pond12Fish12_CatchTime,0.776
Pond12Fish12_PondTime,92.994
Pond12Fish12_PondOutcome,132
Pond12Fish12_TotalOutcome,625
Pond12Fish12_TimeLeft,583.187
Type,N
FishN,13
Fish,13
Pond12Fish13_FishType,green
Pond12Fish13_FishLatency,8.571428571428571
Pond12Fish13_CatchTime,0.631
Pond12Fish13_PondTime,105.356
Pond12Fish13_PondOutcome,143
Pond12Fish13_TotalOutcome,636
Pond12Fish13_TimeLeft,570.825
Type,N
FishN,13
Fish,14
Pond12Fish14_FishType,green
Pond12Fish14_FishLatency,10
Pond12Fish14_CatchTime,0.854
Pond12Fish14_PondTime,119.719
Pond12Fish14_PondOutcome,154
Pond12Fish14_TotalOutcome,647
Pond12Fish14_TimeLeft,556.462
PondEnd_LastFish,14
FishN,13
Type,N
GiveUpTime,0.699
PondTime,136.596
TimeLeft,539.084
PondOutcome,154
TotalOutcome,647
PondStart,PondStart
PondIntroTime,17.282273408491164
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.094
Pond3Fish1_PondTime,8.282
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,658
Pond3Fish1_TimeLeft,512.89
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,0.963
Pond3Fish2_PondTime,14.932
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,669
Pond3Fish2_TimeLeft,506.239
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.019
Pond3Fish3_PondTime,21.912
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,680
Pond3Fish3_TimeLeft,499.26
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,1.083
Pond3Fish4_PondTime,29.277
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,691
Pond3Fish4_TimeLeft,491.895
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.104
Pond3Fish5_PondTime,37.092
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,702
Pond3Fish5_TimeLeft,484.08
Type,N
FishN,19
Fish,6
Pond3Fish6_FishType,green
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,0.665
Pond3Fish6_PondTime,45.456
Pond3Fish6_PondOutcome,66
Pond3Fish6_TotalOutcome,713
Pond3Fish6_TimeLeft,475.716
Type,N
FishN,19
Fish,7
Pond3Fish7_FishType,green
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,0.838
Pond3Fish7_PondTime,54.486
Pond3Fish7_PondOutcome,77
Pond3Fish7_TotalOutcome,724
Pond3Fish7_TimeLeft,466.685
Type,N
FishN,19
Fish,8
Pond3Fish8_FishType,green
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.085
Pond3Fish8_PondTime,64.35
Pond3Fish8_PondOutcome,88
Pond3Fish8_TotalOutcome,735
Pond3Fish8_TimeLeft,456.822
Type,N
FishN,19
Fish,9
Pond3Fish9_FishType,green
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,0.924
Pond3Fish9_PondTime,75.281
Pond3Fish9_PondOutcome,99
Pond3Fish9_TotalOutcome,746
Pond3Fish9_TimeLeft,445.891
PondEnd_LastFish,9
FishN,19
Type,N
GiveUpTime,0.602
PondTime,87.279
TimeLeft,433.389
PondOutcome,99
TotalOutcome,746
PondStart,PondStart
PondIntroTime,12.680037966929376
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.3333333333333335
Pond1Fish1_CatchTime,1.029
Pond1Fish1_PondTime,7.798
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,757
Pond1Fish1_TimeLeft,412.282
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.5294117647058822
Pond1Fish2_CatchTime,1.082
Pond1Fish2_PondTime,13.915
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,768
Pond1Fish2_TimeLeft,406.166
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.75
Pond1Fish3_CatchTime,1.189
Pond1Fish3_PondTime,20.279
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,779
Pond1Fish3_TimeLeft,399.802
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,4
Pond1Fish4_CatchTime,0.621
Pond1Fish4_PondTime,26.929
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,790
Pond1Fish4_TimeLeft,393.152
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4.285714285714286
Pond1Fish5_CatchTime,0.814
Pond1Fish5_PondTime,33.91
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,801
Pond1Fish5_TimeLeft,386.168
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.615384615384615
Pond1Fish6_CatchTime,0.585
Pond1Fish6_PondTime,41.274
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,812
Pond1Fish6_TimeLeft,378.807
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,5
Pond1Fish7_CatchTime,0.893
Pond1Fish7_PondTime,49.09
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,823
Pond1Fish7_TimeLeft,370.991
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5.454545454545454
Pond1Fish8_CatchTime,0.568
Pond1Fish8_PondTime,57.456
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,834
Pond1Fish8_TimeLeft,362.625
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,6
Pond1Fish9_CatchTime,0.751
Pond1Fish9_PondTime,66.484
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,845
Pond1Fish9_TimeLeft,353.597
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6.666666666666667
Pond1Fish10_CatchTime,0.665
Pond1Fish10_PondTime,76.352
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,856
Pond1Fish10_TimeLeft,343.729
Type,N
FishN,19
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,7.5
Pond1Fish11_CatchTime,0.727
Pond1Fish11_PondTime,87.296
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,867
Pond1Fish11_TimeLeft,332.785
Type,N
FishN,19
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,8.571428571428571
Pond1Fish12_CatchTime,0.793
Pond1Fish12_PondTime,99.658
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,878
Pond1Fish12_TimeLeft,320.423
PondEnd_LastFish,12
FishN,19
Type,N
GiveUpTime,1.187
PondTime,99.844
TimeLeft,319.734
PondOutcome,132
TotalOutcome,878
PondStart,PondStart
PondIntroTime,17.29270833078772
Type,RD
FishN,15
Fish,1
Pond7Fish1_FishType,blue
Pond7Fish1_FishLatency,3.1578947368421053
Pond7Fish1_CatchTime,0.909
Pond7Fish1_PondTime,7.616
Pond7Fish1_PondOutcome,12
Pond7Fish1_TotalOutcome,890
Pond7Fish1_TimeLeft,294.21
Type,RD
FishN,15
Fish,2
Pond7Fish2_FishType,blue
Pond7Fish2_FishLatency,3.3333333333333335
Pond7Fish2_CatchTime,0.991
Pond7Fish2_PondTime,13.512
Pond7Fish2_PondOutcome,24
Pond7Fish2_TotalOutcome,902
Pond7Fish2_TimeLeft,288.314
Type,RD
FishN,15
Fish,3
Pond7Fish3_FishType,blue
Pond7Fish3_FishLatency,3.5294117647058822
Pond7Fish3_CatchTime,0.936
Pond7Fish3_PondTime,19.627
Pond7Fish3_PondOutcome,36
Pond7Fish3_TotalOutcome,914
Pond7Fish3_TimeLeft,282.198
Type,RD
FishN,15
Fish,4
Pond7Fish4_FishType,blue
Pond7Fish4_FishLatency,3.75
Pond7Fish4_CatchTime,1.211
Pond7Fish4_PondTime,25.992
Pond7Fish4_PondOutcome,48
Pond7Fish4_TotalOutcome,926
Pond7Fish4_TimeLeft,275.834
Type,RD
FishN,15
