,5c506ed23ef40800012a688a
PondEnd_LastFish,6
FishN,19
Type,N
GiveUpTime,0.755
PondTime,39.865
TimeLeft,1162.031
PondOutcome,66
TotalOutcome,66
PondStart,PondStart
PondIntroTime,17.495893104933202
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.75
Pond7Fish1_CatchTime,0.92
Pond7Fish1_PondTime,8.311
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,77
Pond7Fish1_TimeLeft,1135.585
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,4
Pond7Fish2_CatchTime,0.91
Pond7Fish2_PondTime,14.999
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,88
Pond7Fish2_TimeLeft,1128.897
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,4.285714285714286
Pond7Fish3_CatchTime,0.919
Pond7Fish3_PondTime,21.979
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,99
Pond7Fish3_TimeLeft,1121.917
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4.615384615384615
Pond7Fish4_CatchTime,0.814
Pond7Fish4_PondTime,29.373
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,110
Pond7Fish4_TimeLeft,1114.523
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,5
Pond7Fish5_CatchTime,1.036
Pond7Fish5_PondTime,37.212
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,121
Pond7Fish5_TimeLeft,1106.684
PondEnd_LastFish,5
FishN,15
Type,N
GiveUpTime,0.342
PondTime,44.897
TimeLeft,1098.497
PondOutcome,55
TotalOutcome,121
PondStart,PondStart
PondIntroTime,14.361920005176216
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,0.969
Pond11Fish1_PondTime,7.814
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,133
Pond11Fish1_TimeLeft,1075.702
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.21
Pond11Fish2_PondTime,13.936
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,145
Pond11Fish2_TimeLeft,1069.58
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.984
Pond11Fish3_PondTime,20.315
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,157
Pond11Fish3_TimeLeft,1063.201
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,0.824
Pond11Fish4_PondTime,26.995
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,169
Pond11Fish4_TimeLeft,1056.521
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.846
Pond11Fish5_PondTime,34.008
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,181
Pond11Fish5_TimeLeft,1049.508
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.801
Pond11Fish6_PondTime,41.405
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,193
Pond11Fish6_TimeLeft,1042.111
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,blue
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,1.567
Pond11Fish7_PondTime,49.262
Pond11Fish7_PondOutcome,84
Pond11Fish7_TotalOutcome,205
Pond11Fish7_TimeLeft,1034.254
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.909
Pond11Fish8_PondTime,57.655
Pond11Fish8_PondOutcome,96
Pond11Fish8_TotalOutcome,217
Pond11Fish8_TimeLeft,1025.861
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,-1
Pond11Fish9_PondTime,66.769
Pond11Fish9_PondOutcome,96
Pond11Fish9_TotalOutcome,217
Pond11Fish9_TimeLeft,1016.747
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,blue
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.142
Pond11Fish10_PondTime,76.683
Pond11Fish10_PondOutcome,108
Pond11Fish10_TotalOutcome,229
Pond11Fish10_TimeLeft,1006.833
PondEnd_LastFish,10
FishN,14
Type,RD
GiveUpTime,0.317
PondTime,87.152
TimeLeft,995.861
PondOutcome,108
TotalOutcome,229
PondStart,PondStart
PondIntroTime,15.710610249079764
PondEnd_LastFish,10
FishN,19
Type,RD
GiveUpTime,0.419
PondTime,8.747
TimeLeft,970.275
PondOutcome,0
TotalOutcome,229
PondStart,PondStart
PondIntroTime,15.110921207815409
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,4.285714285714286
Pond3Fish1_CatchTime,0.633
Pond3Fish1_PondTime,8.915
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,241
Pond3Fish1_TimeLeft,945.624
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4.615384615384615
Pond3Fish2_CatchTime,1.064
Pond3Fish2_PondTime,16.302
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,253
Pond3Fish2_TimeLeft,938.237
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,5
Pond3Fish3_CatchTime,1.23
Pond3Fish3_PondTime,24.139
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,265
Pond3Fish3_TimeLeft,930.399
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,5.454545454545454
Pond3Fish4_CatchTime,0.65
Pond3Fish4_PondTime,32.526
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,277
Pond3Fish4_TimeLeft,922.012
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,6
Pond3Fish5_CatchTime,0.676
Pond3Fish5_PondTime,41.604
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,289
Pond3Fish5_TimeLeft,912.934
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,6.666666666666667
Pond3Fish6_CatchTime,0.473
Pond3Fish6_PondTime,51.497
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,301
Pond3Fish6_TimeLeft,903.042
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,7.5
Pond3Fish7_CatchTime,0.785
Pond3Fish7_PondTime,62.46
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,313
Pond3Fish7_TimeLeft,892.079
PondEnd_LastFish,7
FishN,19
Type,RD
GiveUpTime,0.694
PondTime,74.418
TimeLeft,879.619
PondOutcome,84
TotalOutcome,313
PondStart,PondStart
PondIntroTime,13.391160806640983
Type,RT
FishN,16
Fish,1
Pond4Fish1_FishType,purple
Pond4Fish1_FishLatency,3.1578947368421053
Pond4Fish1_CatchTime,1.203
Pond4Fish1_PondTime,7.638
Pond4Fish1_PondOutcome,10
Pond4Fish1_TotalOutcome,323
Pond4Fish1_TimeLeft,857.967
Type,RT
FishN,16
Fish,2
Pond4Fish2_FishType,purple
Pond4Fish2_FishLatency,3.3333333333333335
Pond4Fish2_CatchTime,0.879
Pond4Fish2_PondTime,13.572
Pond4Fish2_PondOutcome,20
Pond4Fish2_TotalOutcome,333
Pond4Fish2_TimeLeft,852.033
PondEnd_LastFish,2
FishN,16
Type,RT
GiveUpTime,2.07
PondTime,14.712
TimeLeft,850.39
PondOutcome,20
TotalOutcome,333
PondStart,PondStart
PondIntroTime,11.243123752065003
PondEnd_LastFish,2
FishN,17
Type,RT
GiveUpTime,0.411
PondTime,8.557
TimeLeft,829.458
PondOutcome,0
TotalOutcome,333
PondStart,PondStart
PondIntroTime,16.124786087311804
PondEnd_LastFish,2
FishN,12
Type,RT
GiveUpTime,0.456
PondTime,7.217
TimeLeft,804.98
PondOutcome,0
TotalOutcome,333
PondStart,PondStart
PondIntroTime,11.451033246703446
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,3.1578947368421053
Pond9Fish1_CatchTime,0.77
Pond9Fish1_PondTime,7.656
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,344
Pond9Fish1_TimeLeft,785.24
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,3.3333333333333335
Pond9Fish2_CatchTime,1.272
Pond9Fish2_PondTime,13.561
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,355
Pond9Fish2_TimeLeft,779.335
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,3.5294117647058822
Pond9Fish3_CatchTime,0.939
Pond9Fish3_PondTime,19.718
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,366
Pond9Fish3_TimeLeft,773.178
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,3.75
Pond9Fish4_CatchTime,1.965
Pond9Fish4_PondTime,26.374
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,377
Pond9Fish4_TimeLeft,766.522
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,4
Pond9Fish5_CatchTime,0.759
Pond9Fish5_PondTime,33.058
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,388
Pond9Fish5_TimeLeft,759.838
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,4.285714285714286
Pond9Fish6_CatchTime,1.258
Pond9Fish6_PondTime,40.055
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,399
Pond9Fish6_TimeLeft,752.841
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,4.615384615384615
Pond9Fish7_CatchTime,0.826
Pond9Fish7_PondTime,47.416
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,410
Pond9Fish7_TimeLeft,745.48
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,5
Pond9Fish8_CatchTime,1.68
Pond9Fish8_PondTime,55.255
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,421
Pond9Fish8_TimeLeft,737.641
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,5.454545454545454
Pond9Fish9_CatchTime,1.952
Pond9Fish9_PondTime,63.908
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,432
Pond9Fish9_TimeLeft,728.988
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,6
Pond9Fish10_CatchTime,1.205
Pond9Fish10_PondTime,72.969
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,443
Pond9Fish10_TimeLeft,719.927
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,6.666666666666667
Pond9Fish11_CatchTime,0.906
Pond9Fish11_PondTime,82.848
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,454
Pond9Fish11_TimeLeft,710.048
Type,N
FishN,16
Fish,12
Pond9Fish12_FishType,green
Pond9Fish12_FishLatency,7.5
Pond9Fish12_CatchTime,0.885
Pond9Fish12_PondTime,93.808
Pond9Fish12_PondOutcome,132
Pond9Fish12_TotalOutcome,465
Pond9Fish12_TimeLeft,699.088
PondEnd_LastFish,12
FishN,16
Type,N
GiveUpTime,0.567
PondTime,105.792
TimeLeft,686.601
PondOutcome,132
TotalOutcome,465
PondStart,PondStart
PondIntroTime,11.945296211633831
Type,N
FishN,12
Fish,1
Pond5Fish1_FishType,green
Pond5Fish1_FishLatency,4.285714285714286
Pond5Fish1_CatchTime,0.751
Pond5Fish1_PondTime,8.925
Pond5Fish1_PondOutcome,11
Pond5Fish1_TotalOutcome,476
Pond5Fish1_TimeLeft,665.103
Type,N
FishN,12
Fish,2
Pond5Fish2_FishType,green
Pond5Fish2_FishLatency,4.615384615384615
Pond5Fish2_CatchTime,1.087
Pond5Fish2_PondTime,16.305
Pond5Fish2_PondOutcome,22
Pond5Fish2_TotalOutcome,487
Pond5Fish2_TimeLeft,657.724
Type,N
FishN,12
Fish,3
Pond5Fish3_FishType,green
Pond5Fish3_FishLatency,5
Pond5Fish3_CatchTime,1.515
Pond5Fish3_PondTime,24.147
Pond5Fish3_PondOutcome,33
Pond5Fish3_TotalOutcome,498
Pond5Fish3_TimeLeft,649.882
Type,N
FishN,12
Fish,4
Pond5Fish4_FishType,green
Pond5Fish4_FishLatency,5.454545454545454
Pond5Fish4_CatchTime,1.109
Pond5Fish4_PondTime,32.53
Pond5Fish4_PondOutcome,44
Pond5Fish4_TotalOutcome,509
Pond5Fish4_TimeLeft,641.499
Type,N
FishN,12
Fish,5
Pond5Fish5_FishType,green
Pond5Fish5_FishLatency,6
Pond5Fish5_CatchTime,1.875
Pond5Fish5_PondTime,41.773
Pond5Fish5_PondOutcome,55
Pond5Fish5_TotalOutcome,520
Pond5Fish5_TimeLeft,632.256
Type,N
FishN,12
Fish,6
Pond5Fish6_FishType,green
Pond5Fish6_FishLatency,6.666666666666667
Pond5Fish6_CatchTime,2.002
Pond5Fish6_PondTime,51.734
Pond5Fish6_PondOutcome,66
Pond5Fish6_TotalOutcome,531
Pond5Fish6_TimeLeft,622.295
Type,N
FishN,12
Fish,7
Pond5Fish7_FishType,green
Pond5Fish7_FishLatency,7.5
Pond5Fish7_CatchTime,0.809
Pond5Fish7_PondTime,62.708
Pond5Fish7_PondOutcome,77
Pond5Fish7_TotalOutcome,542
Pond5Fish7_TimeLeft,611.321
Type,N
FishN,12
Fish,8
Pond5Fish8_FishType,green
Pond5Fish8_FishLatency,8.571428571428571
Pond5Fish8_CatchTime,1.01
Pond5Fish8_PondTime,75.102
Pond5Fish8_PondOutcome,88
Pond5Fish8_TotalOutcome,553
Pond5Fish8_TimeLeft,598.927
Type,N
FishN,12
Fish,9
Pond5Fish9_FishType,green
Pond5Fish9_FishLatency,10
Pond5Fish9_CatchTime,1.885
Pond5Fish9_PondTime,89.679
Pond5Fish9_PondOutcome,99
Pond5Fish9_TotalOutcome,564
Pond5Fish9_TimeLeft,584.35
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.465
PondTime,107.289
TimeLeft,566.301
PondOutcome,99
TotalOutcome,564
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.465
PondTime,107.289
TimeLeft,566.27
PondOutcome,99
TotalOutcome,564
PondEnd_LastFish,9
FishN,12
Type,N
GiveUpTime,0.465
PondTime,107.289
TimeLeft,566.239
PondOutcome,99
TotalOutcome,564
PondStart,PondStart
PondIntroTime,14.125563828274608
PondStart,PondStart
PondIntroTime,14.125563828274608
PondStart,PondStart
PondIntroTime,14.125563828274608
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,1.429
Pond3Fish3_PondTime,8.307
Pond3Fish3_PondOutcome,2
Pond3Fish3_TotalOutcome,566
Pond3Fish3_TimeLeft,543.239
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,8.308
Pond3Fish3_PondOutcome,2
Pond3Fish3_TotalOutcome,566
Pond3Fish3_TimeLeft,543.238
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,gray
Pond3Fish3_FishLatency,3.75
Pond3Fish3_CatchTime,-1
Pond3Fish3_PondTime,8.309
Pond3Fish3_PondOutcome,2
Pond3Fish3_TotalOutcome,566
Pond3Fish3_TimeLeft,543.237
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,0.936
Pond3Fish6_PondTime,15.707
Pond3Fish6_PondOutcome,14
Pond3Fish6_TotalOutcome,578
Pond3Fish6_TimeLeft,535.839
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,-1
Pond3Fish6_PondTime,15.709
Pond3Fish6_PondOutcome,14
Pond3Fish6_TotalOutcome,578
Pond3Fish6_TimeLeft,535.837
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,4.615384615384615
Pond3Fish6_CatchTime,-1
Pond3Fish6_PondTime,15.709
Pond3Fish6_PondOutcome,14
Pond3Fish6_TotalOutcome,578
Pond3Fish6_TimeLeft,535.837
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,0.794
Pond3Fish9_PondTime,24.747
Pond3Fish9_PondOutcome,26
Pond3Fish9_TotalOutcome,590
Pond3Fish9_TimeLeft,526.799
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,6
Pond3Fish9_CatchTime,-1
Pond3Fish9_PondTime,24.747
Pond3Fish9_PondOutcome,26
Pond3Fish9_TotalOutcome,590
Pond3Fish9_TimeLeft,526.799
