,5dfeb042820526b4f5c5615e
Pond3Fish1_TimeLeft,725.225
Type,RT
FishN,19
Fish,2
Pond3Fish2_FishType,purple
Pond3Fish2_FishLatency,3.3333333333333335
Pond3Fish2_CatchTime,1.67
Pond3Fish2_PondTime,13.508
Pond3Fish2_PondOutcome,20
Pond3Fish2_TotalOutcome,300
Pond3Fish2_TimeLeft,719.339
Type,RT
FishN,19
Fish,3
Pond3Fish3_FishType,purple
Pond3Fish3_FishLatency,3.5294117647058822
Pond3Fish3_CatchTime,0.801
Pond3Fish3_PondTime,19.616
Pond3Fish3_PondOutcome,30
Pond3Fish3_TotalOutcome,310
Pond3Fish3_TimeLeft,713.231
Type,RT
FishN,19
Fish,4
Pond3Fish4_FishType,purple
Pond3Fish4_FishLatency,3.75
Pond3Fish4_CatchTime,1.026
Pond3Fish4_PondTime,26.015
Pond3Fish4_PondOutcome,40
Pond3Fish4_TotalOutcome,320
Pond3Fish4_TimeLeft,706.832
Type,RT
FishN,19
Fish,5
Pond3Fish5_FishType,purple
Pond3Fish5_FishLatency,4
Pond3Fish5_CatchTime,1.286
Pond3Fish5_PondTime,32.659
Pond3Fish5_PondOutcome,50
Pond3Fish5_TotalOutcome,330
Pond3Fish5_TimeLeft,700.188
Type,RT
FishN,19
Fish,6
Pond3Fish6_FishType,golden
Pond3Fish6_FishLatency,4.285714285714286
Pond3Fish6_CatchTime,0.804
Pond3Fish6_PondTime,39.644
Pond3Fish6_PondOutcome,70
Pond3Fish6_TotalOutcome,350
Pond3Fish6_TimeLeft,693.203
Type,RT
FishN,19
Fish,7
Pond3Fish7_FishType,purple
Pond3Fish7_FishLatency,4.615384615384615
Pond3Fish7_CatchTime,1.016
Pond3Fish7_PondTime,47.017
Pond3Fish7_PondOutcome,80
Pond3Fish7_TotalOutcome,360
Pond3Fish7_TimeLeft,685.83
Type,RT
FishN,19
Fish,8
Pond3Fish8_FishType,purple
Pond3Fish8_FishLatency,5
Pond3Fish8_CatchTime,0.648
Pond3Fish8_PondTime,54.841
Pond3Fish8_PondOutcome,90
Pond3Fish8_TotalOutcome,370
Pond3Fish8_TimeLeft,678.006
Type,RT
FishN,19
Fish,9
Pond3Fish9_FishType,purple
Pond3Fish9_FishLatency,5.454545454545454
Pond3Fish9_CatchTime,1.031
Pond3Fish9_PondTime,63.242
Pond3Fish9_PondOutcome,100
Pond3Fish9_TotalOutcome,380
Pond3Fish9_TimeLeft,669.605
Type,RT
FishN,19
Fish,10
Pond3Fish10_FishType,purple
Pond3Fish10_FishLatency,6
Pond3Fish10_CatchTime,0.914
Pond3Fish10_PondTime,72.286
Pond3Fish10_PondOutcome,110
Pond3Fish10_TotalOutcome,390
Pond3Fish10_TimeLeft,660.56
Type,RT
FishN,19
Fish,11
Pond3Fish11_FishType,purple
Pond3Fish11_FishLatency,6.666666666666667
Pond3Fish11_CatchTime,0.891
Pond3Fish11_PondTime,82.15
Pond3Fish11_PondOutcome,120
Pond3Fish11_TotalOutcome,400
Pond3Fish11_TimeLeft,650.697
Type,RT
FishN,19
Fish,12
Pond3Fish12_FishType,purple
Pond3Fish12_FishLatency,7.5
Pond3Fish12_CatchTime,1.492
Pond3Fish12_PondTime,93.099
Pond3Fish12_PondOutcome,130
Pond3Fish12_TotalOutcome,410
Pond3Fish12_TimeLeft,639.748
Type,RT
FishN,19
Fish,13
Pond3Fish13_FishType,purple
Pond3Fish13_FishLatency,8.571428571428571
Pond3Fish13_CatchTime,0.876
Pond3Fish13_PondTime,105.469
Pond3Fish13_PondOutcome,140
Pond3Fish13_TotalOutcome,420
Pond3Fish13_TimeLeft,627.378
Type,RT
FishN,19
Fish,14
Pond3Fish14_FishType,purple
Pond3Fish14_FishLatency,10
Pond3Fish14_CatchTime,0.696
Pond3Fish14_PondTime,119.825
Pond3Fish14_PondOutcome,150
Pond3Fish14_TotalOutcome,430
Pond3Fish14_TimeLeft,613.022
Type,RT
FishN,19
Fish,15
Pond3Fish15_FishType,golden
Pond3Fish15_FishLatency,12
Pond3Fish15_CatchTime,0.923
Pond3Fish15_PondTime,137.207
Pond3Fish15_PondOutcome,170
Pond3Fish15_TotalOutcome,450
Pond3Fish15_TimeLeft,595.64
Type,RT
FishN,19
Fish,16
Pond3Fish16_FishType,purple
Pond3Fish16_FishLatency,15
Pond3Fish16_CatchTime,1.38
Pond3Fish16_PondTime,159.573
Pond3Fish16_PondOutcome,180
Pond3Fish16_TotalOutcome,460
Pond3Fish16_TimeLeft,573.274
PondEnd_LastFish,16
FishN,19
Type,RT
GiveUpTime,23.44
PondTime,182.595
TimeLeft,549.748
PondOutcome,180
TotalOutcome,460
PondStart,PondStart
PondIntroTime,17.745232440065593
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,golden
Pond2Fish1_FishLatency,3.75
Pond2Fish1_CatchTime,1.439
Pond2Fish1_PondTime,9.218
Pond2Fish1_PondOutcome,20
Pond2Fish1_TotalOutcome,480
Pond2Fish1_TimeLeft,520.487
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,golden
Pond2Fish2_FishLatency,4
Pond2Fish2_CatchTime,0.929
Pond2Fish2_PondTime,15.866
Pond2Fish2_PondOutcome,40
Pond2Fish2_TotalOutcome,500
Pond2Fish2_TimeLeft,513.839
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.285714285714286
Pond2Fish3_CatchTime,0.976
Pond2Fish3_PondTime,22.881
Pond2Fish3_PondOutcome,50
Pond2Fish3_TotalOutcome,510
Pond2Fish3_TimeLeft,506.824
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,4.615384615384615
Pond2Fish4_CatchTime,0.703
Pond2Fish4_PondTime,30.283
Pond2Fish4_PondOutcome,60
Pond2Fish4_TotalOutcome,520
Pond2Fish4_TimeLeft,499.422
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5
Pond2Fish5_CatchTime,1.432
Pond2Fish5_PondTime,38.154
Pond2Fish5_PondOutcome,70
Pond2Fish5_TotalOutcome,530
Pond2Fish5_TimeLeft,491.551
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,5.454545454545454
Pond2Fish6_CatchTime,0.877
Pond2Fish6_PondTime,46.52
Pond2Fish6_PondOutcome,80
Pond2Fish6_TotalOutcome,540
Pond2Fish6_TimeLeft,483.185
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6
Pond2Fish7_CatchTime,1.027
Pond2Fish7_PondTime,55.559
Pond2Fish7_PondOutcome,90
Pond2Fish7_TotalOutcome,550
Pond2Fish7_TimeLeft,474.146
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,6.666666666666667
Pond2Fish8_CatchTime,0.88
Pond2Fish8_PondTime,65.435
Pond2Fish8_PondOutcome,100
Pond2Fish8_TotalOutcome,560
Pond2Fish8_TimeLeft,464.27
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,purple
Pond2Fish9_FishLatency,7.5
Pond2Fish9_CatchTime,0.91
Pond2Fish9_PondTime,76.371
Pond2Fish9_PondOutcome,110
Pond2Fish9_TotalOutcome,570
Pond2Fish9_TimeLeft,453.334
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,golden
Pond2Fish10_FishLatency,8.571428571428571
Pond2Fish10_CatchTime,0.911
Pond2Fish10_PondTime,88.747
Pond2Fish10_PondOutcome,130
Pond2Fish10_TotalOutcome,590
Pond2Fish10_TimeLeft,440.958
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,10
Pond2Fish11_CatchTime,1.068
Pond2Fish11_PondTime,103.119
Pond2Fish11_PondOutcome,140
Pond2Fish11_TotalOutcome,600
Pond2Fish11_TimeLeft,426.586
Type,RT
FishN,12
Fish,12
Pond2Fish12_FishType,purple
Pond2Fish12_FishLatency,12
Pond2Fish12_CatchTime,0.995
Pond2Fish12_PondTime,121.952
Pond2Fish12_PondOutcome,150
Pond2Fish12_TotalOutcome,610
Pond2Fish12_TimeLeft,407.753
Type,RT
FishN,12
Fish,13
Pond2Fish13_FishType,purple
Pond2Fish13_FishLatency,15
Pond2Fish13_CatchTime,1.45
Pond2Fish13_PondTime,146.12
Pond2Fish13_PondOutcome,160
Pond2Fish13_TotalOutcome,620
Pond2Fish13_TimeLeft,383.585
Type,RT
FishN,12
Fish,14
Pond2Fish14_FishType,purple
Pond2Fish14_FishLatency,20
Pond2Fish14_CatchTime,1.553
Pond2Fish14_PondTime,178.511
Pond2Fish14_PondOutcome,170
Pond2Fish14_TotalOutcome,630
Pond2Fish14_TimeLeft,351.194
PondEnd_LastFish,14
FishN,12
Type,RT
GiveUpTime,0.693
PondTime,178.963
TimeLeft,350.172
PondOutcome,170
TotalOutcome,630
PondStart,PondStart
PondIntroTime,13.949974090792239
Type,N
FishN,19
Fish,1
Pond10Fish1_FishType,green
Pond10Fish1_FishLatency,4
Pond10Fish1_CatchTime,-1
Pond10Fish1_PondTime,8.632
Pond10Fish1_PondOutcome,0
Pond10Fish1_TotalOutcome,630
Pond10Fish1_TimeLeft,326.956
Type,N
FishN,19
Fish,2
Pond10Fish2_FishType,green
Pond10Fish2_FishLatency,4.285714285714286
Pond10Fish2_CatchTime,0.813
Pond10Fish2_PondTime,15.622
Pond10Fish2_PondOutcome,11
Pond10Fish2_TotalOutcome,641
Pond10Fish2_TimeLeft,319.966
Type,N
FishN,19
Fish,3
Pond10Fish3_FishType,green
Pond10Fish3_FishLatency,4.615384615384615
Pond10Fish3_CatchTime,0.775
Pond10Fish3_PondTime,23.003
Pond10Fish3_PondOutcome,22
Pond10Fish3_TotalOutcome,652
Pond10Fish3_TimeLeft,312.585
Type,N
FishN,19
Fish,4
Pond10Fish4_FishType,green
Pond10Fish4_FishLatency,5
Pond10Fish4_CatchTime,0.77
Pond10Fish4_PondTime,30.832
Pond10Fish4_PondOutcome,33
Pond10Fish4_TotalOutcome,663
Pond10Fish4_TimeLeft,304.756
Type,N
FishN,19
Fish,5
Pond10Fish5_FishType,green
Pond10Fish5_FishLatency,5.454545454545454
Pond10Fish5_CatchTime,1.137
Pond10Fish5_PondTime,39.21
Pond10Fish5_PondOutcome,44
Pond10Fish5_TotalOutcome,674
Pond10Fish5_TimeLeft,296.378
Type,N
FishN,19
Fish,6
Pond10Fish6_FishType,green
Pond10Fish6_FishLatency,6
Pond10Fish6_CatchTime,0.906
Pond10Fish6_PondTime,48.258
Pond10Fish6_PondOutcome,55
Pond10Fish6_TotalOutcome,685
Pond10Fish6_TimeLeft,287.33
Type,N
FishN,19
Fish,7
Pond10Fish7_FishType,green
Pond10Fish7_FishLatency,6.666666666666667
Pond10Fish7_CatchTime,0.991
Pond10Fish7_PondTime,58.124
Pond10Fish7_PondOutcome,66
Pond10Fish7_TotalOutcome,696
Pond10Fish7_TimeLeft,277.464
Type,N
FishN,19
Fish,8
Pond10Fish8_FishType,green
Pond10Fish8_FishLatency,7.5
Pond10Fish8_CatchTime,0.893
Pond10Fish8_PondTime,70.836
Pond10Fish8_PondOutcome,77
Pond10Fish8_TotalOutcome,707
Pond10Fish8_TimeLeft,264.752
Type,N
FishN,19
Fish,9
Pond10Fish9_FishType,green
Pond10Fish9_FishLatency,8.571428571428571
Pond10Fish9_CatchTime,1.281
Pond10Fish9_PondTime,84.21
Pond10Fish9_PondOutcome,88
Pond10Fish9_TotalOutcome,718
Pond10Fish9_TimeLeft,251.378
Type,N
FishN,19
Fish,10
Pond10Fish10_FishType,green
Pond10Fish10_FishLatency,10
Pond10Fish10_CatchTime,1.958
Pond10Fish10_PondTime,98.884
Pond10Fish10_PondOutcome,99
Pond10Fish10_TotalOutcome,729
Pond10Fish10_TimeLeft,236.704
Type,N
FishN,19
Fish,11
Pond10Fish11_FishType,green
Pond10Fish11_FishLatency,12
Pond10Fish11_CatchTime,0.893
Pond10Fish11_PondTime,116.263
Pond10Fish11_PondOutcome,110
Pond10Fish11_TotalOutcome,740
Pond10Fish11_TimeLeft,219.325
Type,N
FishN,19
Fish,12
Pond10Fish12_FishType,green
Pond10Fish12_FishLatency,15
Pond10Fish12_CatchTime,1.297
Pond10Fish12_PondTime,138.656
Pond10Fish12_PondOutcome,121
Pond10Fish12_TotalOutcome,751
Pond10Fish12_TimeLeft,196.931
Type,N
FishN,19
Fish,13
Pond10Fish13_FishType,green
Pond10Fish13_FishLatency,20
Pond10Fish13_CatchTime,1.498
Pond10Fish13_PondTime,171.033
Pond10Fish13_PondOutcome,132
Pond10Fish13_TotalOutcome,762
Pond10Fish13_TimeLeft,164.555
PondEnd_LastFish,13
FishN,19
Type,N
GiveUpTime,2.124
PondTime,172.853
TimeLeft,162.231
PondOutcome,132
TotalOutcome,762
PondStart,PondStart
PondIntroTime,12.647415767423809
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,1.529
Pond7Fish1_PondTime,7.834
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,773
Pond7Fish1_TimeLeft,141.138
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,1.446
Pond7Fish2_PondTime,13.949
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,784
Pond7Fish2_TimeLeft,135.023
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,0.667
Pond7Fish3_PondTime,20.318
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,795
Pond7Fish3_TimeLeft,128.654
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,0.922
Pond7Fish4_PondTime,26.968
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,806
Pond7Fish4_TimeLeft,122.004
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,1.276
Pond7Fish5_PondTime,34.061
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,817
Pond7Fish5_TimeLeft,114.911
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
Pond7Fish6_FishLatency,4.615384615384615
Pond7Fish6_CatchTime,0.837
Pond7Fish6_PondTime,41.421
Pond7Fish6_PondOutcome,66
Pond7Fish6_TotalOutcome,828
Pond7Fish6_TimeLeft,107.551
Type,N
FishN,15
Fish,7
Pond7Fish7_FishType,green
Pond7Fish7_FishLatency,5
Pond7Fish7_CatchTime,1.05
Pond7Fish7_PondTime,49.244
Pond7Fish7_PondOutcome,77
Pond7Fish7_TotalOutcome,839
Pond7Fish7_TimeLeft,99.728
Type,N
FishN,15
Fish,8
Pond7Fish8_FishType,green
Pond7Fish8_FishLatency,5.454545454545454
Pond7Fish8_CatchTime,0.838
Pond7Fish8_PondTime,57.683
Pond7Fish8_PondOutcome,88
Pond7Fish8_TotalOutcome,850
Pond7Fish8_TimeLeft,91.289
Type,N
FishN,15
Fish,9
Pond7Fish9_FishType,green
Pond7Fish9_FishLatency,6
Pond7Fish9_CatchTime,1.264
Pond7Fish9_PondTime,66.724
Pond7Fish9_PondOutcome,99
Pond7Fish9_TotalOutcome,861
Pond7Fish9_TimeLeft,82.248
Type,N
FishN,15
Fish,10
Pond7Fish10_FishType,green
Pond7Fish10_FishLatency,6.666666666666667
Pond7Fish10_CatchTime,1.062
Pond7Fish10_PondTime,79.221
Pond7Fish10_PondOutcome,110
Pond7Fish10_TotalOutcome,872
Pond7Fish10_TimeLeft,69.751
Type,N
FishN,15
Fish,11
Pond7Fish11_FishType,green
Pond7Fish11_FishLatency,7.5
Pond7Fish11_CatchTime,0.951
Pond7Fish11_PondTime,91.954
Pond7Fish11_PondOutcome,121
Pond7Fish11_TotalOutcome,883
Pond7Fish11_TimeLeft,57.018
Type,N
FishN,15
Fish,12
Pond7Fish12_FishType,green
Pond7Fish12_FishLatency,8.571428571428571
Pond7Fish12_CatchTime,0.997
Pond7Fish12_PondTime,104.332
Pond7Fish12_PondOutcome,132
Pond7Fish12_TotalOutcome,894
Pond7Fish12_TimeLeft,44.639
Type,N
FishN,15
Fish,13
Pond7Fish13_FishType,green
Pond7Fish13_FishLatency,10
Pond7Fish13_CatchTime,1.081
Pond7Fish13_PondTime,118.761
Pond7Fish13_PondOutcome,143
Pond7Fish13_TotalOutcome,905
Pond7Fish13_TimeLeft,30.211
Type,N
FishN,15
Fish,14
Pond7Fish14_FishType,green
Pond7Fish14_FishLatency,12
Pond7Fish14_CatchTime,1.323
Pond7Fish14_PondTime,136.159
Pond7Fish14_PondOutcome,154
Pond7Fish14_TotalOutcome,916
Pond7Fish14_TimeLeft,12.813
