,5af42fb7c937e00001113bb0
Pond8Fish8_PondTime,82.017
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,363
Pond8Fish8_TimeLeft,786.329
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,blue
Pond8Fish9_FishLatency,12
Pond8Fish9_CatchTime,1.04
Pond8Fish9_PondTime,99.389
Pond8Fish9_PondOutcome,108
Pond8Fish9_TotalOutcome,375
Pond8Fish9_TimeLeft,768.956
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,15
Pond8Fish10_CatchTime,1.263
Pond8Fish10_PondTime,121.75
Pond8Fish10_PondOutcome,120
Pond8Fish10_TotalOutcome,387
Pond8Fish10_TimeLeft,746.596
PondEnd_LastFish,10
FishN,17
Type,RD
GiveUpTime,1.187
PondTime,122.405
TimeLeft,745.438
PondOutcome,120
TotalOutcome,387
PondStart,PondStart
PondIntroTime,10.783659361768514
Type,N
FishN,19
Fish,1
Pond1Fish1_FishType,green
Pond1Fish1_FishLatency,3.1578947368421053
Pond1Fish1_CatchTime,1.19
Pond1Fish1_PondTime,7.603
Pond1Fish1_PondOutcome,11
Pond1Fish1_TotalOutcome,398
Pond1Fish1_TimeLeft,726.442
Type,N
FishN,19
Fish,2
Pond1Fish2_FishType,green
Pond1Fish2_FishLatency,3.3333333333333335
Pond1Fish2_CatchTime,1.007
Pond1Fish2_PondTime,13.488
Pond1Fish2_PondOutcome,22
Pond1Fish2_TotalOutcome,409
Pond1Fish2_TimeLeft,720.557
Type,N
FishN,19
Fish,3
Pond1Fish3_FishType,green
Pond1Fish3_FishLatency,3.5294117647058822
Pond1Fish3_CatchTime,1.285
Pond1Fish3_PondTime,19.61
Pond1Fish3_PondOutcome,33
Pond1Fish3_TotalOutcome,420
Pond1Fish3_TimeLeft,714.435
Type,N
FishN,19
Fish,4
Pond1Fish4_FishType,green
Pond1Fish4_FishLatency,3.75
Pond1Fish4_CatchTime,1.489
Pond1Fish4_PondTime,25.965
Pond1Fish4_PondOutcome,44
Pond1Fish4_TotalOutcome,431
Pond1Fish4_TimeLeft,708.08
Type,N
FishN,19
Fish,5
Pond1Fish5_FishType,green
Pond1Fish5_FishLatency,4
Pond1Fish5_CatchTime,1.106
Pond1Fish5_PondTime,32.604
Pond1Fish5_PondOutcome,55
Pond1Fish5_TotalOutcome,442
Pond1Fish5_TimeLeft,701.44
Type,N
FishN,19
Fish,6
Pond1Fish6_FishType,green
Pond1Fish6_FishLatency,4.285714285714286
Pond1Fish6_CatchTime,1.108
Pond1Fish6_PondTime,39.583
Pond1Fish6_PondOutcome,66
Pond1Fish6_TotalOutcome,453
Pond1Fish6_TimeLeft,694.462
Type,N
FishN,19
Fish,7
Pond1Fish7_FishType,green
Pond1Fish7_FishLatency,4.615384615384615
Pond1Fish7_CatchTime,1.092
Pond1Fish7_PondTime,46.937
Pond1Fish7_PondOutcome,77
Pond1Fish7_TotalOutcome,464
Pond1Fish7_TimeLeft,687.108
Type,N
FishN,19
Fish,8
Pond1Fish8_FishType,green
Pond1Fish8_FishLatency,5
Pond1Fish8_CatchTime,1.403
Pond1Fish8_PondTime,54.748
Pond1Fish8_PondOutcome,88
Pond1Fish8_TotalOutcome,475
Pond1Fish8_TimeLeft,679.297
Type,N
FishN,19
Fish,9
Pond1Fish9_FishType,green
Pond1Fish9_FishLatency,5.454545454545454
Pond1Fish9_CatchTime,1.223
Pond1Fish9_PondTime,63.11
Pond1Fish9_PondOutcome,99
Pond1Fish9_TotalOutcome,486
Pond1Fish9_TimeLeft,670.934
Type,N
FishN,19
Fish,10
Pond1Fish10_FishType,green
Pond1Fish10_FishLatency,6
Pond1Fish10_CatchTime,1.041
Pond1Fish10_PondTime,72.141
Pond1Fish10_PondOutcome,110
Pond1Fish10_TotalOutcome,497
Pond1Fish10_TimeLeft,661.904
Type,N
FishN,19
Fish,11
Pond1Fish11_FishType,green
Pond1Fish11_FishLatency,6.666666666666667
Pond1Fish11_CatchTime,1.293
Pond1Fish11_PondTime,82.009
Pond1Fish11_PondOutcome,121
Pond1Fish11_TotalOutcome,508
Pond1Fish11_TimeLeft,652.035
Type,N
FishN,19
Fish,12
Pond1Fish12_FishType,green
Pond1Fish12_FishLatency,7.5
Pond1Fish12_CatchTime,1.035
Pond1Fish12_PondTime,92.948
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,519
Pond1Fish12_TimeLeft,641.097
Type,N
FishN,19
Fish,13
Pond1Fish13_FishType,green
Pond1Fish13_FishLatency,8.571428571428571
Pond1Fish13_CatchTime,1.042
Pond1Fish13_PondTime,105.307
Pond1Fish13_PondOutcome,143
Pond1Fish13_TotalOutcome,530
Pond1Fish13_TimeLeft,628.738
Type,N
FishN,19
Fish,14
Pond1Fish14_FishType,green
Pond1Fish14_FishLatency,10
Pond1Fish14_CatchTime,1.423
Pond1Fish14_PondTime,119.673
Pond1Fish14_PondOutcome,154
Pond1Fish14_TotalOutcome,541
Pond1Fish14_TimeLeft,614.372
Type,N
FishN,19
Fish,15
Pond1Fish15_FishType,green
Pond1Fish15_FishLatency,12
Pond1Fish15_CatchTime,1.205
Pond1Fish15_PondTime,137.033
Pond1Fish15_PondOutcome,165
Pond1Fish15_TotalOutcome,552
Pond1Fish15_TimeLeft,597.012
PondEnd_LastFish,15
FishN,19
Type,N
GiveUpTime,0.604
PondTime,137.041
TimeLeft,596.502
PondOutcome,165
TotalOutcome,552
PondStart,PondStart
PondIntroTime,11.650641136802733
Type,RD
FishN,19
Fish,1
Pond3Fish1_FishType,blue
Pond3Fish1_FishLatency,3.75
Pond3Fish1_CatchTime,1.149
Pond3Fish1_PondTime,8.27
Pond3Fish1_PondOutcome,12
Pond3Fish1_TotalOutcome,564
Pond3Fish1_TimeLeft,575.955
Type,RD
FishN,19
Fish,2
Pond3Fish2_FishType,blue
Pond3Fish2_FishLatency,4
Pond3Fish2_CatchTime,1.038
Pond3Fish2_PondTime,14.925
Pond3Fish2_PondOutcome,24
Pond3Fish2_TotalOutcome,576
Pond3Fish2_TimeLeft,569.299
Type,RD
FishN,19
Fish,3
Pond3Fish3_FishType,blue
Pond3Fish3_FishLatency,4.285714285714286
Pond3Fish3_CatchTime,1.175
Pond3Fish3_PondTime,21.9
Pond3Fish3_PondOutcome,36
Pond3Fish3_TotalOutcome,588
Pond3Fish3_TimeLeft,562.325
Type,RD
FishN,19
Fish,4
Pond3Fish4_FishType,blue
Pond3Fish4_FishLatency,4.615384615384615
Pond3Fish4_CatchTime,0.872
Pond3Fish4_PondTime,29.261
Pond3Fish4_PondOutcome,48
Pond3Fish4_TotalOutcome,600
Pond3Fish4_TimeLeft,554.964
Type,RD
FishN,19
Fish,5
Pond3Fish5_FishType,blue
Pond3Fish5_FishLatency,5
Pond3Fish5_CatchTime,1.428
Pond3Fish5_PondTime,37.069
Pond3Fish5_PondOutcome,60
Pond3Fish5_TotalOutcome,612
Pond3Fish5_TimeLeft,547.155
Type,RD
FishN,19
Fish,6
Pond3Fish6_FishType,blue
Pond3Fish6_FishLatency,5.454545454545454
Pond3Fish6_CatchTime,1.379
Pond3Fish6_PondTime,45.433
Pond3Fish6_PondOutcome,72
Pond3Fish6_TotalOutcome,624
Pond3Fish6_TimeLeft,538.792
Type,RD
FishN,19
Fish,7
Pond3Fish7_FishType,blue
Pond3Fish7_FishLatency,6
Pond3Fish7_CatchTime,1.061
Pond3Fish7_PondTime,54.465
Pond3Fish7_PondOutcome,84
Pond3Fish7_TotalOutcome,636
Pond3Fish7_TimeLeft,529.76
Type,RD
FishN,19
Fish,8
Pond3Fish8_FishType,blue
Pond3Fish8_FishLatency,6.666666666666667
Pond3Fish8_CatchTime,1.183
Pond3Fish8_PondTime,64.332
Pond3Fish8_PondOutcome,96
Pond3Fish8_TotalOutcome,648
Pond3Fish8_TimeLeft,519.893
Type,RD
FishN,19
Fish,9
Pond3Fish9_FishType,blue
Pond3Fish9_FishLatency,7.5
Pond3Fish9_CatchTime,1.406
Pond3Fish9_PondTime,75.269
Pond3Fish9_PondOutcome,108
Pond3Fish9_TotalOutcome,660
Pond3Fish9_TimeLeft,508.956
Type,RD
FishN,19
Fish,10
Pond3Fish10_FishType,blue
Pond3Fish10_FishLatency,8.571428571428571
Pond3Fish10_CatchTime,1.263
Pond3Fish10_PondTime,87.631
Pond3Fish10_PondOutcome,120
Pond3Fish10_TotalOutcome,672
Pond3Fish10_TimeLeft,496.594
Type,RD
FishN,19
Fish,11
Pond3Fish11_FishType,blue
Pond3Fish11_FishLatency,10
Pond3Fish11_CatchTime,0.999
Pond3Fish11_PondTime,101.996
Pond3Fish11_PondOutcome,132
Pond3Fish11_TotalOutcome,684
Pond3Fish11_TimeLeft,482.229
Type,RD
FishN,19
Fish,12
Pond3Fish12_FishType,blue
Pond3Fish12_FishLatency,12
Pond3Fish12_CatchTime,1.096
Pond3Fish12_PondTime,119.371
Pond3Fish12_PondOutcome,144
Pond3Fish12_TotalOutcome,696
Pond3Fish12_TimeLeft,464.854
Type,RD
FishN,19
Fish,13
Pond3Fish13_FishType,blue
Pond3Fish13_FishLatency,15
Pond3Fish13_CatchTime,1.262
Pond3Fish13_PondTime,141.734
Pond3Fish13_PondOutcome,156
Pond3Fish13_TotalOutcome,708
Pond3Fish13_TimeLeft,442.491
PondEnd_LastFish,13
FishN,19
Type,RD
GiveUpTime,29.715
PondTime,170.918
TimeLeft,412.803
PondOutcome,156
TotalOutcome,708
PondStart,PondStart
PondIntroTime,16.585958395153284
Type,N
FishN,16
Fish,1
Pond4Fish1_FishType,green
Pond4Fish1_FishLatency,4.285714285714286
Pond4Fish1_CatchTime,1.151
Pond4Fish1_PondTime,8.889
Pond4Fish1_PondOutcome,11
Pond4Fish1_TotalOutcome,719
Pond4Fish1_TimeLeft,386.715
Type,N
FishN,16
Fish,2
Pond4Fish2_FishType,green
Pond4Fish2_FishLatency,4.615384615384615
Pond4Fish2_CatchTime,0.927
Pond4Fish2_PondTime,16.252
Pond4Fish2_PondOutcome,22
Pond4Fish2_TotalOutcome,730
Pond4Fish2_TimeLeft,379.352
Type,N
FishN,16
Fish,3
Pond4Fish3_FishType,green
Pond4Fish3_FishLatency,5
Pond4Fish3_CatchTime,1.173
Pond4Fish3_PondTime,24.078
Pond4Fish3_PondOutcome,33
Pond4Fish3_TotalOutcome,741
Pond4Fish3_TimeLeft,371.526
Type,N
FishN,16
Fish,4
Pond4Fish4_FishType,green
Pond4Fish4_FishLatency,5.454545454545454
Pond4Fish4_CatchTime,1.266
Pond4Fish4_PondTime,32.437
Pond4Fish4_PondOutcome,44
Pond4Fish4_TotalOutcome,752
Pond4Fish4_TimeLeft,363.167
Type,N
FishN,16
Fish,5
Pond4Fish5_FishType,green
Pond4Fish5_FishLatency,6
Pond4Fish5_CatchTime,1.042
Pond4Fish5_PondTime,41.47
Pond4Fish5_PondOutcome,55
Pond4Fish5_TotalOutcome,763
Pond4Fish5_TimeLeft,354.134
Type,N
FishN,16
Fish,6
Pond4Fish6_FishType,green
Pond4Fish6_FishLatency,6.666666666666667
Pond4Fish6_CatchTime,1.559
Pond4Fish6_PondTime,51.337
Pond4Fish6_PondOutcome,66
Pond4Fish6_TotalOutcome,774
Pond4Fish6_TimeLeft,344.266
Type,N
FishN,16
Fish,7
Pond4Fish7_FishType,green
Pond4Fish7_FishLatency,7.5
Pond4Fish7_CatchTime,1.476
Pond4Fish7_PondTime,62.276
Pond4Fish7_PondOutcome,77
Pond4Fish7_TotalOutcome,785
Pond4Fish7_TimeLeft,333.327
Type,N
FishN,16
Fish,8
Pond4Fish8_FishType,green
Pond4Fish8_FishLatency,8.571428571428571
Pond4Fish8_CatchTime,1.061
Pond4Fish8_PondTime,74.636
Pond4Fish8_PondOutcome,88
Pond4Fish8_TotalOutcome,796
Pond4Fish8_TimeLeft,320.968
Type,N
FishN,16
Fish,9
Pond4Fish9_FishType,green
Pond4Fish9_FishLatency,10
Pond4Fish9_CatchTime,-1
Pond4Fish9_PondTime,89.056
Pond4Fish9_PondOutcome,88
Pond4Fish9_TotalOutcome,796
Pond4Fish9_TimeLeft,306.548
Type,N
FishN,16
Fish,10
Pond4Fish10_FishType,green
Pond4Fish10_FishLatency,12
Pond4Fish10_CatchTime,1.261
Pond4Fish10_PondTime,106.427
Pond4Fish10_PondOutcome,99
Pond4Fish10_TotalOutcome,807
Pond4Fish10_TimeLeft,289.176
Type,N
FishN,16
Fish,11
Pond4Fish11_FishType,green
Pond4Fish11_FishLatency,15
Pond4Fish11_CatchTime,-1
Pond4Fish11_PondTime,128.845
Pond4Fish11_PondOutcome,99
Pond4Fish11_TotalOutcome,807
Pond4Fish11_TimeLeft,266.759
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,24.519
PondTime,130.418
TimeLeft,264.682
PondOutcome,99
TotalOutcome,807
PondStart,PondStart
PondIntroTime,14.446267867460847
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.615384615384615
Pond2Fish1_CatchTime,1.912
Pond2Fish1_PondTime,9.502
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,818
Pond2Fish1_TimeLeft,240.114
Type,N
FishN,12
Fish,2
Pond2Fish2_FishType,green
Pond2Fish2_FishLatency,5
Pond2Fish2_CatchTime,-1
Pond2Fish2_PondTime,17.376
Pond2Fish2_PondOutcome,11
Pond2Fish2_TotalOutcome,818
Pond2Fish2_TimeLeft,232.24
Type,N
FishN,12
Fish,3
Pond2Fish3_FishType,green
Pond2Fish3_FishLatency,5.454545454545454
Pond2Fish3_CatchTime,1.07
Pond2Fish3_PondTime,25.749
Pond2Fish3_PondOutcome,22
Pond2Fish3_TotalOutcome,829
Pond2Fish3_TimeLeft,223.867
Type,N
FishN,12
Fish,4
Pond2Fish4_FishType,green
Pond2Fish4_FishLatency,6
Pond2Fish4_CatchTime,1.015
Pond2Fish4_PondTime,34.781
Pond2Fish4_PondOutcome,33
Pond2Fish4_TotalOutcome,840
Pond2Fish4_TimeLeft,214.835
Type,N
FishN,12
Fish,5
Pond2Fish5_FishType,green
Pond2Fish5_FishLatency,6.666666666666667
Pond2Fish5_CatchTime,1.346
Pond2Fish5_PondTime,44.651
Pond2Fish5_PondOutcome,44
Pond2Fish5_TotalOutcome,851
Pond2Fish5_TimeLeft,204.965
Type,N
FishN,12
Fish,6
Pond2Fish6_FishType,green
Pond2Fish6_FishLatency,7.5
Pond2Fish6_CatchTime,1.113
Pond2Fish6_PondTime,55.589
Pond2Fish6_PondOutcome,55
Pond2Fish6_TotalOutcome,862
Pond2Fish6_TimeLeft,194.027
Type,N
FishN,12
Fish,7
Pond2Fish7_FishType,green
Pond2Fish7_FishLatency,8.571428571428571
Pond2Fish7_CatchTime,1.545
Pond2Fish7_PondTime,67.948
Pond2Fish7_PondOutcome,66
Pond2Fish7_TotalOutcome,873
Pond2Fish7_TimeLeft,181.668
Type,N
FishN,12
Fish,8
Pond2Fish8_FishType,green
Pond2Fish8_FishLatency,10
Pond2Fish8_CatchTime,1.266
Pond2Fish8_PondTime,82.314
Pond2Fish8_PondOutcome,77
Pond2Fish8_TotalOutcome,884
Pond2Fish8_TimeLeft,167.302
Type,N
FishN,12
Fish,9
Pond2Fish9_FishType,green
Pond2Fish9_FishLatency,12
Pond2Fish9_CatchTime,1.459
Pond2Fish9_PondTime,99.673
Pond2Fish9_PondOutcome,88
Pond2Fish9_TotalOutcome,895
Pond2Fish9_TimeLeft,149.942
Type,N
FishN,12
Fish,10
Pond2Fish10_FishType,green
Pond2Fish10_FishLatency,15
Pond2Fish10_CatchTime,1.154
Pond2Fish10_PondTime,122.036
Pond2Fish10_PondOutcome,99
Pond2Fish10_TotalOutcome,906
Pond2Fish10_TimeLeft,127.58
PondEnd_LastFish,10
FishN,12
Type,N
GiveUpTime,0.826
PondTime,122.214
TimeLeft,126.898
PondOutcome,99
TotalOutcome,906
PondStart,PondStart
PondIntroTime,14.324122148100287
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.5294117647058822
Pond7Fish1_CatchTime,0.961
Pond7Fish1_PondTime,8.021
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,917
Pond7Fish1_TimeLeft,103.934
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.75
Pond7Fish2_CatchTime,1.686
Pond7Fish2_PondTime,14.378
Pond7Fish2_PondOutcome,22
