,5c27fbd7da51990001e2ed0b
Pond8Fish11_CatchTime,0.937
Pond8Fish11_PondTime,113.339
Pond8Fish11_PondOutcome,92
Pond8Fish11_TotalOutcome,334
Pond8Fish11_TimeLeft,798.354
PondEnd_LastFish,11
FishN,17
Type,RD
GiveUpTime,0.986
PondTime,113.489
TimeLeft,797.701
PondOutcome,92
TotalOutcome,334
PondStart,PondStart
PondIntroTime,15.738826545421034
Type,N
FishN,16
Fish,1
Pond9Fish1_FishType,green
Pond9Fish1_FishLatency,4.285714285714286
Pond9Fish1_CatchTime,1.155
Pond9Fish1_PondTime,8.905
Pond9Fish1_PondOutcome,11
Pond9Fish1_TotalOutcome,345
Pond9Fish1_TimeLeft,771.538
Type,N
FishN,16
Fish,2
Pond9Fish2_FishType,green
Pond9Fish2_FishLatency,4.615384615384615
Pond9Fish2_CatchTime,1.556
Pond9Fish2_PondTime,16.277
Pond9Fish2_PondOutcome,22
Pond9Fish2_TotalOutcome,356
Pond9Fish2_TimeLeft,764.166
Type,N
FishN,16
Fish,3
Pond9Fish3_FishType,green
Pond9Fish3_FishLatency,5
Pond9Fish3_CatchTime,0.952
Pond9Fish3_PondTime,24.114
Pond9Fish3_PondOutcome,33
Pond9Fish3_TotalOutcome,367
Pond9Fish3_TimeLeft,756.329
Type,N
FishN,16
Fish,4
Pond9Fish4_FishType,green
Pond9Fish4_FishLatency,5.454545454545454
Pond9Fish4_CatchTime,0.815
Pond9Fish4_PondTime,32.522
Pond9Fish4_PondOutcome,44
Pond9Fish4_TotalOutcome,378
Pond9Fish4_TimeLeft,747.921
Type,N
FishN,16
Fish,5
Pond9Fish5_FishType,green
Pond9Fish5_FishLatency,6
Pond9Fish5_CatchTime,0.9
Pond9Fish5_PondTime,41.562
Pond9Fish5_PondOutcome,55
Pond9Fish5_TotalOutcome,389
Pond9Fish5_TimeLeft,738.881
Type,N
FishN,16
Fish,6
Pond9Fish6_FishType,green
Pond9Fish6_FishLatency,6.666666666666667
Pond9Fish6_CatchTime,0.949
Pond9Fish6_PondTime,51.432
Pond9Fish6_PondOutcome,66
Pond9Fish6_TotalOutcome,400
Pond9Fish6_TimeLeft,729.011
Type,N
FishN,16
Fish,7
Pond9Fish7_FishType,green
Pond9Fish7_FishLatency,7.5
Pond9Fish7_CatchTime,0.991
Pond9Fish7_PondTime,62.406
Pond9Fish7_PondOutcome,77
Pond9Fish7_TotalOutcome,411
Pond9Fish7_TimeLeft,718.037
Type,N
FishN,16
Fish,8
Pond9Fish8_FishType,green
Pond9Fish8_FishLatency,8.571428571428571
Pond9Fish8_CatchTime,0.957
Pond9Fish8_PondTime,74.781
Pond9Fish8_PondOutcome,88
Pond9Fish8_TotalOutcome,422
Pond9Fish8_TimeLeft,705.662
Type,N
FishN,16
Fish,9
Pond9Fish9_FishType,green
Pond9Fish9_FishLatency,10
Pond9Fish9_CatchTime,1.026
Pond9Fish9_PondTime,89.157
Pond9Fish9_PondOutcome,99
Pond9Fish9_TotalOutcome,433
Pond9Fish9_TimeLeft,691.286
Type,N
FishN,16
Fish,10
Pond9Fish10_FishType,green
Pond9Fish10_FishLatency,12
Pond9Fish10_CatchTime,0.963
Pond9Fish10_PondTime,106.602
Pond9Fish10_PondOutcome,110
Pond9Fish10_TotalOutcome,444
Pond9Fish10_TimeLeft,673.841
Type,N
FishN,16
Fish,11
Pond9Fish11_FishType,green
Pond9Fish11_FishLatency,15
Pond9Fish11_CatchTime,1.162
Pond9Fish11_PondTime,129.049
Pond9Fish11_PondOutcome,121
Pond9Fish11_TotalOutcome,455
Pond9Fish11_TimeLeft,651.394
PondEnd_LastFish,11
FishN,16
Type,N
GiveUpTime,1.627
PondTime,130.043
TimeLeft,649.898
PondOutcome,121
TotalOutcome,455
PondStart,PondStart
PondIntroTime,13.294590543955564
Type,RT
FishN,14
Fish,1
Pond11Fish1_FishType,purple
Pond11Fish1_FishLatency,4.615384615384615
Pond11Fish1_CatchTime,1.044
Pond11Fish1_PondTime,9.299
Pond11Fish1_PondOutcome,10
Pond11Fish1_TotalOutcome,465
Pond11Fish1_TimeLeft,626.683
Type,RT
FishN,14
Fish,2
Pond11Fish2_FishType,purple
Pond11Fish2_FishLatency,5
Pond11Fish2_CatchTime,1.074
Pond11Fish2_PondTime,17.143
Pond11Fish2_PondOutcome,20
Pond11Fish2_TotalOutcome,475
Pond11Fish2_TimeLeft,618.839
Type,RT
FishN,14
Fish,3
Pond11Fish3_FishType,purple
Pond11Fish3_FishLatency,5.454545454545454
Pond11Fish3_CatchTime,1.116
Pond11Fish3_PondTime,25.517
Pond11Fish3_PondOutcome,30
Pond11Fish3_TotalOutcome,485
Pond11Fish3_TimeLeft,610.465
Type,RT
FishN,14
Fish,4
Pond11Fish4_FishType,purple
Pond11Fish4_FishLatency,6
Pond11Fish4_CatchTime,1.156
Pond11Fish4_PondTime,34.588
Pond11Fish4_PondOutcome,40
Pond11Fish4_TotalOutcome,495
Pond11Fish4_TimeLeft,601.394
Type,RT
FishN,14
Fish,5
Pond11Fish5_FishType,purple
Pond11Fish5_FishLatency,6.666666666666667
Pond11Fish5_CatchTime,0.925
Pond11Fish5_PondTime,44.529
Pond11Fish5_PondOutcome,50
Pond11Fish5_TotalOutcome,505
Pond11Fish5_TimeLeft,591.452
Type,RT
FishN,14
Fish,6
Pond11Fish6_FishType,purple
Pond11Fish6_FishLatency,7.5
Pond11Fish6_CatchTime,1.081
Pond11Fish6_PondTime,55.467
Pond11Fish6_PondOutcome,60
Pond11Fish6_TotalOutcome,515
Pond11Fish6_TimeLeft,580.515
Type,RT
FishN,14
Fish,7
Pond11Fish7_FishType,purple
Pond11Fish7_FishLatency,8.571428571428571
Pond11Fish7_CatchTime,0.854
Pond11Fish7_PondTime,67.844
Pond11Fish7_PondOutcome,70
Pond11Fish7_TotalOutcome,525
Pond11Fish7_TimeLeft,568.138
Type,RT
FishN,14
Fish,8
Pond11Fish8_FishType,purple
Pond11Fish8_FishLatency,10
Pond11Fish8_CatchTime,-1
Pond11Fish8_PondTime,82.285
Pond11Fish8_PondOutcome,70
Pond11Fish8_TotalOutcome,525
Pond11Fish8_TimeLeft,553.697
Type,RT
FishN,14
Fish,9
Pond11Fish9_FishType,purple
Pond11Fish9_FishLatency,12
Pond11Fish9_CatchTime,-1
Pond11Fish9_PondTime,99.731
Pond11Fish9_PondOutcome,70
Pond11Fish9_TotalOutcome,525
Pond11Fish9_TimeLeft,536.251
Type,RT
FishN,14
Fish,10
Pond11Fish10_FishType,purple
Pond11Fish10_FishLatency,15
Pond11Fish10_CatchTime,1.125
Pond11Fish10_PondTime,122.11
Pond11Fish10_PondOutcome,80
Pond11Fish10_TotalOutcome,535
Pond11Fish10_TimeLeft,513.872
Type,RT
FishN,14
Fish,11
Pond11Fish11_FishType,purple
Pond11Fish11_FishLatency,20
Pond11Fish11_CatchTime,1.002
Pond11Fish11_PondTime,154.466
Pond11Fish11_PondOutcome,90
Pond11Fish11_TotalOutcome,545
Pond11Fish11_TimeLeft,481.516
PondEnd_LastFish,11
FishN,14
Type,RT
GiveUpTime,1.2
PondTime,154.897
TimeLeft,480.581
PondOutcome,90
TotalOutcome,545
PondStart,PondStart
PondIntroTime,15.099874599836767
Type,RT
FishN,12
Fish,1
Pond5Fish1_FishType,golden
Pond5Fish1_FishLatency,3.3333333333333335
Pond5Fish1_CatchTime,0.921
Pond5Fish1_PondTime,7.837
Pond5Fish1_PondOutcome,20
Pond5Fish1_TotalOutcome,565
Pond5Fish1_TimeLeft,457.032
Type,RT
FishN,12
Fish,2
Pond5Fish2_FishType,purple
Pond5Fish2_FishLatency,3.5294117647058822
Pond5Fish2_CatchTime,0.883
Pond5Fish2_PondTime,13.973
Pond5Fish2_PondOutcome,30
Pond5Fish2_TotalOutcome,575
Pond5Fish2_TimeLeft,450.896
Type,RT
FishN,12
Fish,3
Pond5Fish3_FishType,purple
Pond5Fish3_FishLatency,3.75
Pond5Fish3_CatchTime,0.755
Pond5Fish3_PondTime,20.379
Pond5Fish3_PondOutcome,40
Pond5Fish3_TotalOutcome,585
Pond5Fish3_TimeLeft,444.49
Type,RT
FishN,12
Fish,4
Pond5Fish4_FishType,purple
Pond5Fish4_FishLatency,4
Pond5Fish4_CatchTime,1.148
Pond5Fish4_PondTime,27.048
Pond5Fish4_PondOutcome,50
Pond5Fish4_TotalOutcome,595
Pond5Fish4_TimeLeft,437.821
Type,RT
FishN,12
Fish,5
Pond5Fish5_FishType,purple
Pond5Fish5_FishLatency,4.285714285714286
Pond5Fish5_CatchTime,1.063
Pond5Fish5_PondTime,34.021
Pond5Fish5_PondOutcome,60
Pond5Fish5_TotalOutcome,605
Pond5Fish5_TimeLeft,430.848
Type,RT
FishN,12
Fish,6
Pond5Fish6_FishType,purple
Pond5Fish6_FishLatency,4.615384615384615
Pond5Fish6_CatchTime,0.948
Pond5Fish6_PondTime,41.389
Pond5Fish6_PondOutcome,70
Pond5Fish6_TotalOutcome,615
Pond5Fish6_TimeLeft,423.48
Type,RT
FishN,12
Fish,7
Pond5Fish7_FishType,purple
Pond5Fish7_FishLatency,5
Pond5Fish7_CatchTime,1.244
Pond5Fish7_PondTime,49.229
Pond5Fish7_PondOutcome,80
Pond5Fish7_TotalOutcome,625
Pond5Fish7_TimeLeft,415.64
Type,RT
FishN,12
Fish,8
Pond5Fish8_FishType,purple
Pond5Fish8_FishLatency,5.454545454545454
Pond5Fish8_CatchTime,0.937
Pond5Fish8_PondTime,57.602
Pond5Fish8_PondOutcome,90
Pond5Fish8_TotalOutcome,635
Pond5Fish8_TimeLeft,407.267
Type,RT
FishN,12
Fish,9
Pond5Fish9_FishType,purple
Pond5Fish9_FishLatency,6
Pond5Fish9_CatchTime,0.955
Pond5Fish9_PondTime,66.64
Pond5Fish9_PondOutcome,100
Pond5Fish9_TotalOutcome,645
Pond5Fish9_TimeLeft,398.229
Type,RT
FishN,12
Fish,10
Pond5Fish10_FishType,purple
Pond5Fish10_FishLatency,6.666666666666667
Pond5Fish10_CatchTime,1.173
Pond5Fish10_PondTime,76.546
Pond5Fish10_PondOutcome,110
Pond5Fish10_TotalOutcome,655
Pond5Fish10_TimeLeft,388.323
Type,RT
FishN,12
Fish,11
Pond5Fish11_FishType,purple
Pond5Fish11_FishLatency,7.5
Pond5Fish11_CatchTime,0.876
Pond5Fish11_PondTime,87.488
Pond5Fish11_PondOutcome,120
Pond5Fish11_TotalOutcome,665
Pond5Fish11_TimeLeft,377.381
Type,RT
FishN,12
Fish,12
Pond5Fish12_FishType,purple
Pond5Fish12_FishLatency,8.571428571428571
Pond5Fish12_CatchTime,1.024
Pond5Fish12_PondTime,99.896
Pond5Fish12_PondOutcome,130
Pond5Fish12_TotalOutcome,675
Pond5Fish12_TimeLeft,364.973
PondEnd_LastFish,12
FishN,12
Type,RT
GiveUpTime,1.646
PondTime,100.772
TimeLeft,363.594
PondOutcome,130
TotalOutcome,675
PondStart,PondStart
PondIntroTime,11.711978930979967
Type,N
FishN,19
Fish,1
Pond3Fish1_FishType,green
Pond3Fish1_FishLatency,4.615384615384615
Pond3Fish1_CatchTime,1.195
Pond3Fish1_PondTime,9.306
Pond3Fish1_PondOutcome,11
Pond3Fish1_TotalOutcome,686
Pond3Fish1_TimeLeft,341.893
Type,N
FishN,19
Fish,2
Pond3Fish2_FishType,green
Pond3Fish2_FishLatency,5
Pond3Fish2_CatchTime,1.964
Pond3Fish2_PondTime,17.411
Pond3Fish2_PondOutcome,22
Pond3Fish2_TotalOutcome,697
Pond3Fish2_TimeLeft,333.788
Type,N
FishN,19
Fish,3
Pond3Fish3_FishType,green
Pond3Fish3_FishLatency,5.454545454545454
Pond3Fish3_CatchTime,0.997
Pond3Fish3_PondTime,25.817
Pond3Fish3_PondOutcome,33
Pond3Fish3_TotalOutcome,708
Pond3Fish3_TimeLeft,325.382
Type,N
FishN,19
Fish,4
Pond3Fish4_FishType,green
Pond3Fish4_FishLatency,6
Pond3Fish4_CatchTime,0.825
Pond3Fish4_PondTime,34.855
Pond3Fish4_PondOutcome,44
Pond3Fish4_TotalOutcome,719
Pond3Fish4_TimeLeft,316.344
Type,N
FishN,19
Fish,5
Pond3Fish5_FishType,green
Pond3Fish5_FishLatency,6.666666666666667
Pond3Fish5_CatchTime,0.828
Pond3Fish5_PondTime,44.729
Pond3Fish5_PondOutcome,55
Pond3Fish5_TotalOutcome,730
Pond3Fish5_TimeLeft,306.47
PondEnd_LastFish,5
FishN,19
Type,N
GiveUpTime,0.779
PondTime,55.413
TimeLeft,295.284
PondOutcome,55
TotalOutcome,730
PondStart,PondStart
PondIntroTime,19.769675580319017
Type,RD
FishN,13
Fish,1
Pond12Fish1_FishType,blue
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.788
Pond12Fish1_PondTime,8.671
Pond12Fish1_PondOutcome,12
Pond12Fish1_TotalOutcome,742
Pond12Fish1_TimeLeft,266.21
Type,RD
FishN,13
Fish,2
Pond12Fish2_FishType,blue
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,0.916
Pond12Fish2_PondTime,15.676
Pond12Fish2_PondOutcome,24
Pond12Fish2_TotalOutcome,754
Pond12Fish2_TimeLeft,259.206
Type,RD
FishN,13
Fish,3
Pond12Fish3_FishType,blue
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.014
Pond12Fish3_PondTime,23.047
Pond12Fish3_PondOutcome,36
Pond12Fish3_TotalOutcome,766
Pond12Fish3_TimeLeft,251.834
Type,RD
FishN,13
Fish,4
Pond12Fish4_FishType,blue
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,0.927
Pond12Fish4_PondTime,30.885
Pond12Fish4_PondOutcome,48
Pond12Fish4_TotalOutcome,778
Pond12Fish4_TimeLeft,243.997
Type,RD
FishN,13
Fish,5
Pond12Fish5_FishType,blue
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,1.013
Pond12Fish5_PondTime,39.259
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,790
Pond12Fish5_TimeLeft,235.623
PondEnd_LastFish,5
FishN,13
Type,RD
GiveUpTime,1.096
PondTime,39.587
TimeLeft,234.791
PondOutcome,60
TotalOutcome,790
PondStart,PondStart
PondIntroTime,18.999750027433038
Type,N
FishN,12
Fish,1
Pond2Fish1_FishType,green
Pond2Fish1_FishLatency,4.285714285714286
Pond2Fish1_CatchTime,1.094
Pond2Fish1_PondTime,8.895
Pond2Fish1_PondOutcome,11
Pond2Fish1_TotalOutcome,801
Pond2Fish1_TimeLeft,206.239
PondEnd_LastFish,1
FishN,12
Type,N
GiveUpTime,1.581
PondTime,9.775
TimeLeft,204.856
PondOutcome,11
TotalOutcome,801
PondStart,PondStart
PondIntroTime,11.86126013752073
Type,N
FishN,15
Fish,1
Pond7Fish1_FishType,green
Pond7Fish1_FishLatency,3.3333333333333335
Pond7Fish1_CatchTime,0.934
Pond7Fish1_PondTime,7.839
Pond7Fish1_PondOutcome,11
Pond7Fish1_TotalOutcome,812
Pond7Fish1_TimeLeft,184.524
Type,N
FishN,15
Fish,2
Pond7Fish2_FishType,green
Pond7Fish2_FishLatency,3.5294117647058822
Pond7Fish2_CatchTime,0.963
Pond7Fish2_PondTime,13.977
Pond7Fish2_PondOutcome,22
Pond7Fish2_TotalOutcome,823
Pond7Fish2_TimeLeft,178.386
Type,N
FishN,15
Fish,3
Pond7Fish3_FishType,green
Pond7Fish3_FishLatency,3.75
Pond7Fish3_CatchTime,1.354
Pond7Fish3_PondTime,20.413
Pond7Fish3_PondOutcome,33
Pond7Fish3_TotalOutcome,834
Pond7Fish3_TimeLeft,171.95
Type,N
FishN,15
Fish,4
Pond7Fish4_FishType,green
Pond7Fish4_FishLatency,4
Pond7Fish4_CatchTime,1.107
Pond7Fish4_PondTime,27.084
Pond7Fish4_PondOutcome,44
Pond7Fish4_TotalOutcome,845
Pond7Fish4_TimeLeft,165.279
Type,N
FishN,15
Fish,5
Pond7Fish5_FishType,green
Pond7Fish5_FishLatency,4.285714285714286
Pond7Fish5_CatchTime,0.66
Pond7Fish5_PondTime,34.055
Pond7Fish5_PondOutcome,55
Pond7Fish5_TotalOutcome,856
Pond7Fish5_TimeLeft,158.308
Type,N
FishN,15
Fish,6
Pond7Fish6_FishType,green
