,5de0d1a68f63df128d42c590
Pond1Fish2_CatchTime,1.094
Pond1Fish2_PondTime,15.534
Pond1Fish2_PondOutcome,24
Pond1Fish2_TotalOutcome,168
Pond1Fish2_TimeLeft,1049.42
Type,RD
FishN,19
Fish,3
Pond1Fish3_FishType,blue
Pond1Fish3_FishLatency,4.615384615384615
Pond1Fish3_CatchTime,1.027
Pond1Fish3_PondTime,22.9
Pond1Fish3_PondOutcome,36
Pond1Fish3_TotalOutcome,180
Pond1Fish3_TimeLeft,1042.054
Type,RD
FishN,19
Fish,4
Pond1Fish4_FishType,blue
Pond1Fish4_FishLatency,5
Pond1Fish4_CatchTime,1.074
Pond1Fish4_PondTime,30.717
Pond1Fish4_PondOutcome,48
Pond1Fish4_TotalOutcome,192
Pond1Fish4_TimeLeft,1034.237
Type,RD
FishN,19
Fish,5
Pond1Fish5_FishType,blue
Pond1Fish5_FishLatency,5.454545454545454
Pond1Fish5_CatchTime,1.091
Pond1Fish5_PondTime,39.084
Pond1Fish5_PondOutcome,60
Pond1Fish5_TotalOutcome,204
Pond1Fish5_TimeLeft,1025.87
Type,RD
FishN,19
Fish,6
Pond1Fish6_FishType,blue
Pond1Fish6_FishLatency,6
Pond1Fish6_CatchTime,1.154
Pond1Fish6_PondTime,48.117
Pond1Fish6_PondOutcome,72
Pond1Fish6_TotalOutcome,216
Pond1Fish6_TimeLeft,1016.837
Type,RD
FishN,19
Fish,7
Pond1Fish7_FishType,blue
Pond1Fish7_FishLatency,6.666666666666667
Pond1Fish7_CatchTime,1.503
Pond1Fish7_PondTime,57.985
Pond1Fish7_PondOutcome,84
Pond1Fish7_TotalOutcome,228
Pond1Fish7_TimeLeft,1006.969
Type,RD
FishN,19
Fish,8
Pond1Fish8_FishType,blue
Pond1Fish8_FishLatency,7.5
Pond1Fish8_CatchTime,1.05
Pond1Fish8_PondTime,68.918
Pond1Fish8_PondOutcome,96
Pond1Fish8_TotalOutcome,240
Pond1Fish8_TimeLeft,996.036
Type,RD
FishN,19
Fish,9
Pond1Fish9_FishType,blue
Pond1Fish9_FishLatency,8.571428571428571
Pond1Fish9_CatchTime,1.268
Pond1Fish9_PondTime,81.284
Pond1Fish9_PondOutcome,108
Pond1Fish9_TotalOutcome,252
Pond1Fish9_TimeLeft,983.67
Type,RD
FishN,19
Fish,10
Pond1Fish10_FishType,blue
Pond1Fish10_FishLatency,10
Pond1Fish10_CatchTime,1.518
Pond1Fish10_PondTime,95.652
Pond1Fish10_PondOutcome,120
Pond1Fish10_TotalOutcome,264
Pond1Fish10_TimeLeft,969.302
Type,RD
FishN,19
Fish,11
Pond1Fish11_FishType,blue
Pond1Fish11_FishLatency,12
Pond1Fish11_CatchTime,1.458
Pond1Fish11_PondTime,113.018
Pond1Fish11_PondOutcome,132
Pond1Fish11_TotalOutcome,276
Pond1Fish11_TimeLeft,951.936
Type,RD
FishN,19
Fish,12
Pond1Fish12_FishType,gray
Pond1Fish12_FishLatency,15
Pond1Fish12_CatchTime,-1
Pond1Fish12_PondTime,135.449
Pond1Fish12_PondOutcome,132
Pond1Fish12_TotalOutcome,276
Pond1Fish12_TimeLeft,929.505
PondEnd_LastFish,12
FishN,19
Type,RD
GiveUpTime,47.651
PondTime,160.333
TimeLeft,904.118
PondOutcome,132
TotalOutcome,276
PondStart,PondStart
PondIntroTime,14.67105504591018
Type,RT
FishN,13
Fish,1
Pond12Fish1_FishType,purple
Pond12Fish1_FishLatency,4
Pond12Fish1_CatchTime,1.319
Pond12Fish1_PondTime,8.552
Pond12Fish1_PondOutcome,10
Pond12Fish1_TotalOutcome,286
Pond12Fish1_TimeLeft,880.269
Type,RT
FishN,13
Fish,2
Pond12Fish2_FishType,golden
Pond12Fish2_FishLatency,4.285714285714286
Pond12Fish2_CatchTime,1.128
Pond12Fish2_PondTime,15.533
Pond12Fish2_PondOutcome,30
Pond12Fish2_TotalOutcome,306
Pond12Fish2_TimeLeft,873.288
Type,RT
FishN,13
Fish,3
Pond12Fish3_FishType,purple
Pond12Fish3_FishLatency,4.615384615384615
Pond12Fish3_CatchTime,1.114
Pond12Fish3_PondTime,22.903
Pond12Fish3_PondOutcome,40
Pond12Fish3_TotalOutcome,316
Pond12Fish3_TimeLeft,865.918
Type,RT
FishN,13
Fish,4
Pond12Fish4_FishType,purple
Pond12Fish4_FishLatency,5
Pond12Fish4_CatchTime,1.008
Pond12Fish4_PondTime,30.719
Pond12Fish4_PondOutcome,50
Pond12Fish4_TotalOutcome,326
Pond12Fish4_TimeLeft,858.102
Type,RT
FishN,13
Fish,5
Pond12Fish5_FishType,purple
Pond12Fish5_FishLatency,5.454545454545454
Pond12Fish5_CatchTime,0.977
Pond12Fish5_PondTime,39.085
Pond12Fish5_PondOutcome,60
Pond12Fish5_TotalOutcome,336
Pond12Fish5_TimeLeft,849.736
Type,RT
FishN,13
Fish,6
Pond12Fish6_FishType,purple
Pond12Fish6_FishLatency,6
Pond12Fish6_CatchTime,1.084
Pond12Fish6_PondTime,48.118
Pond12Fish6_PondOutcome,70
Pond12Fish6_TotalOutcome,346
Pond12Fish6_TimeLeft,840.703
Type,RT
FishN,13
Fish,7
Pond12Fish7_FishType,purple
Pond12Fish7_FishLatency,6.666666666666667
Pond12Fish7_CatchTime,1.025
Pond12Fish7_PondTime,57.985
Pond12Fish7_PondOutcome,80
Pond12Fish7_TotalOutcome,356
Pond12Fish7_TimeLeft,830.836
Type,RT
FishN,13
Fish,8
Pond12Fish8_FishType,purple
Pond12Fish8_FishLatency,7.5
Pond12Fish8_CatchTime,1.18
Pond12Fish8_PondTime,68.919
Pond12Fish8_PondOutcome,90
Pond12Fish8_TotalOutcome,366
Pond12Fish8_TimeLeft,819.902
Type,RT
FishN,13
Fish,9
Pond12Fish9_FishType,purple
Pond12Fish9_FishLatency,8.571428571428571
Pond12Fish9_CatchTime,1.137
Pond12Fish9_PondTime,81.285
Pond12Fish9_PondOutcome,100
Pond12Fish9_TotalOutcome,376
Pond12Fish9_TimeLeft,807.536
Type,RT
FishN,13
Fish,10
Pond12Fish10_FishType,purple
Pond12Fish10_FishLatency,10
Pond12Fish10_CatchTime,1.014
Pond12Fish10_PondTime,95.652
Pond12Fish10_PondOutcome,110
Pond12Fish10_TotalOutcome,386
Pond12Fish10_TimeLeft,793.169
Type,RT
FishN,13
Fish,11
Pond12Fish11_FishType,purple
Pond12Fish11_FishLatency,12
Pond12Fish11_CatchTime,1.5
Pond12Fish11_PondTime,113.019
Pond12Fish11_PondOutcome,120
Pond12Fish11_TotalOutcome,396
Pond12Fish11_TimeLeft,775.802
Type,RT
FishN,13
Fish,12
Pond12Fish12_FishType,purple
Pond12Fish12_FishLatency,15
Pond12Fish12_CatchTime,-1
Pond12Fish12_PondTime,135.451
Pond12Fish12_PondOutcome,120
Pond12Fish12_TotalOutcome,396
Pond12Fish12_TimeLeft,753.37
Type,RT
FishN,13
Fish,13
Pond12Fish13_FishType,purple
Pond12Fish13_FishLatency,20
Pond12Fish13_CatchTime,1.457
Pond12Fish13_PondTime,167.818
Pond12Fish13_PondOutcome,130
Pond12Fish13_TotalOutcome,406
Pond12Fish13_TimeLeft,721.003
PondEnd_LastFish,13
FishN,13
Type,RT
GiveUpTime,30.59
PondTime,198.073
TimeLeft,690.246
PondOutcome,130
TotalOutcome,406
PondStart,PondStart
PondIntroTime,12.676368390675634
Type,RD
FishN,16
Fish,1
Pond9Fish1_FishType,blue
Pond9Fish1_FishLatency,5
Pond9Fish1_CatchTime,1.19
Pond9Fish1_PondTime,9.733
Pond9Fish1_PondOutcome,12
Pond9Fish1_TotalOutcome,418
Pond9Fish1_TimeLeft,667.22
Type,RD
FishN,16
Fish,2
Pond9Fish2_FishType,blue
Pond9Fish2_FishLatency,5.454545454545454
Pond9Fish2_CatchTime,1.403
Pond9Fish2_PondTime,18.1
Pond9Fish2_PondOutcome,24
Pond9Fish2_TotalOutcome,430
Pond9Fish2_TimeLeft,658.853
Type,RD
FishN,16
Fish,3
Pond9Fish3_FishType,blue
Pond9Fish3_FishLatency,6
Pond9Fish3_CatchTime,1.086
Pond9Fish3_PondTime,27.134
Pond9Fish3_PondOutcome,36
Pond9Fish3_TotalOutcome,442
Pond9Fish3_TimeLeft,649.819
Type,RD
FishN,16
Fish,4
Pond9Fish4_FishType,blue
Pond9Fish4_FishLatency,6.666666666666667
Pond9Fish4_CatchTime,0.85
Pond9Fish4_PondTime,37.001
Pond9Fish4_PondOutcome,48
Pond9Fish4_TotalOutcome,454
Pond9Fish4_TimeLeft,639.952
Type,RD
FishN,16
Fish,5
Pond9Fish5_FishType,blue
Pond9Fish5_FishLatency,7.5
Pond9Fish5_CatchTime,1.073
Pond9Fish5_PondTime,47.934
Pond9Fish5_PondOutcome,60
Pond9Fish5_TotalOutcome,466
Pond9Fish5_TimeLeft,629.019
Type,RD
FishN,16
Fish,6
Pond9Fish6_FishType,blue
Pond9Fish6_FishLatency,8.571428571428571
Pond9Fish6_CatchTime,0.986
Pond9Fish6_PondTime,60.301
Pond9Fish6_PondOutcome,72
Pond9Fish6_TotalOutcome,478
Pond9Fish6_TimeLeft,616.652
Type,RD
FishN,16
Fish,7
Pond9Fish7_FishType,blue
Pond9Fish7_FishLatency,10
Pond9Fish7_CatchTime,1.091
Pond9Fish7_PondTime,74.668
Pond9Fish7_PondOutcome,84
Pond9Fish7_TotalOutcome,490
Pond9Fish7_TimeLeft,602.285
Type,RD
FishN,16
Fish,8
Pond9Fish8_FishType,gray
Pond9Fish8_FishLatency,12
Pond9Fish8_CatchTime,1.252
Pond9Fish8_PondTime,92.035
Pond9Fish8_PondOutcome,86
Pond9Fish8_TotalOutcome,492
Pond9Fish8_TimeLeft,584.918
Type,RD
FishN,16
Fish,9
Pond9Fish9_FishType,blue
Pond9Fish9_FishLatency,15
Pond9Fish9_CatchTime,1.013
Pond9Fish9_PondTime,114.401
Pond9Fish9_PondOutcome,98
Pond9Fish9_TotalOutcome,504
Pond9Fish9_TimeLeft,562.552
PondEnd_LastFish,9
FishN,16
Type,RD
GiveUpTime,31.049
PondTime,144.665
TimeLeft,531.785
PondOutcome,98
TotalOutcome,504
PondStart,PondStart
PondIntroTime,16.1325995484367
Type,RD
FishN,14
Fish,1
Pond11Fish1_FishType,blue
Pond11Fish1_FishLatency,3.3333333333333335
Pond11Fish1_CatchTime,1.261
Pond11Fish1_PondTime,7.801
Pond11Fish1_PondOutcome,12
Pond11Fish1_TotalOutcome,516
Pond11Fish1_TimeLeft,507.219
Type,RD
FishN,14
Fish,2
Pond11Fish2_FishType,blue
Pond11Fish2_FishLatency,3.5294117647058822
Pond11Fish2_CatchTime,1.156
Pond11Fish2_PondTime,13.918
Pond11Fish2_PondOutcome,24
Pond11Fish2_TotalOutcome,528
Pond11Fish2_TimeLeft,501.102
Type,RD
FishN,14
Fish,3
Pond11Fish3_FishType,blue
Pond11Fish3_FishLatency,3.75
Pond11Fish3_CatchTime,0.895
Pond11Fish3_PondTime,20.283
Pond11Fish3_PondOutcome,36
Pond11Fish3_TotalOutcome,540
Pond11Fish3_TimeLeft,494.737
Type,RD
FishN,14
Fish,4
Pond11Fish4_FishType,blue
Pond11Fish4_FishLatency,4
Pond11Fish4_CatchTime,1.071
Pond11Fish4_PondTime,26.936
Pond11Fish4_PondOutcome,48
Pond11Fish4_TotalOutcome,552
Pond11Fish4_TimeLeft,488.084
Type,RD
FishN,14
Fish,5
Pond11Fish5_FishType,blue
Pond11Fish5_FishLatency,4.285714285714286
Pond11Fish5_CatchTime,0.957
Pond11Fish5_PondTime,33.919
Pond11Fish5_PondOutcome,60
Pond11Fish5_TotalOutcome,564
Pond11Fish5_TimeLeft,481.101
Type,RD
FishN,14
Fish,6
Pond11Fish6_FishType,blue
Pond11Fish6_FishLatency,4.615384615384615
Pond11Fish6_CatchTime,0.777
Pond11Fish6_PondTime,41.286
Pond11Fish6_PondOutcome,72
Pond11Fish6_TotalOutcome,576
Pond11Fish6_TimeLeft,473.734
Type,RD
FishN,14
Fish,7
Pond11Fish7_FishType,gray
Pond11Fish7_FishLatency,5
Pond11Fish7_CatchTime,0.964
Pond11Fish7_PondTime,49.103
Pond11Fish7_PondOutcome,74
Pond11Fish7_TotalOutcome,578
Pond11Fish7_TimeLeft,465.916
Type,RD
FishN,14
Fish,8
Pond11Fish8_FishType,blue
Pond11Fish8_FishLatency,5.454545454545454
Pond11Fish8_CatchTime,0.89
Pond11Fish8_PondTime,57.469
Pond11Fish8_PondOutcome,86
Pond11Fish8_TotalOutcome,590
Pond11Fish8_TimeLeft,457.551
Type,RD
FishN,14
Fish,9
Pond11Fish9_FishType,blue
Pond11Fish9_FishLatency,6
Pond11Fish9_CatchTime,0.736
Pond11Fish9_PondTime,66.502
Pond11Fish9_PondOutcome,98
Pond11Fish9_TotalOutcome,602
Pond11Fish9_TimeLeft,448.518
Type,RD
FishN,14
Fish,10
Pond11Fish10_FishType,gray
Pond11Fish10_FishLatency,6.666666666666667
Pond11Fish10_CatchTime,1.069
Pond11Fish10_PondTime,76.368
Pond11Fish10_PondOutcome,100
Pond11Fish10_TotalOutcome,604
Pond11Fish10_TimeLeft,438.652
Type,RD
FishN,14
Fish,11
Pond11Fish11_FishType,blue
Pond11Fish11_FishLatency,7.5
Pond11Fish11_CatchTime,0.832
Pond11Fish11_PondTime,87.301
Pond11Fish11_PondOutcome,112
Pond11Fish11_TotalOutcome,616
Pond11Fish11_TimeLeft,427.719
Type,RD
FishN,14
Fish,12
Pond11Fish12_FishType,blue
Pond11Fish12_FishLatency,8.571428571428571
Pond11Fish12_CatchTime,1.938
Pond11Fish12_PondTime,99.917
Pond11Fish12_PondOutcome,124
Pond11Fish12_TotalOutcome,628
Pond11Fish12_TimeLeft,415.103
Type,RD
FishN,14
Fish,13
Pond11Fish13_FishType,blue
Pond11Fish13_FishLatency,10
Pond11Fish13_CatchTime,1.033
Pond11Fish13_PondTime,114.285
Pond11Fish13_PondOutcome,136
Pond11Fish13_TotalOutcome,640
Pond11Fish13_TimeLeft,400.735
Type,RD
FishN,14
Fish,14
Pond11Fish14_FishType,blue
Pond11Fish14_FishLatency,12
Pond11Fish14_CatchTime,0.919
Pond11Fish14_PondTime,131.651
Pond11Fish14_PondOutcome,148
Pond11Fish14_TotalOutcome,652
Pond11Fish14_TimeLeft,383.369
PondEnd_LastFish,14
FishN,14
Type,RD
GiveUpTime,20.63
PondTime,151.412
TimeLeft,363.105
PondOutcome,148
TotalOutcome,652
PondStart,PondStart
PondIntroTime,17.74071457097307
Type,RD
FishN,17
Fish,1
Pond8Fish1_FishType,blue
Pond8Fish1_FishLatency,4.285714285714286
Pond8Fish1_CatchTime,1.018
Pond8Fish1_PondTime,8.885
Pond8Fish1_PondOutcome,12
Pond8Fish1_TotalOutcome,664
Pond8Fish1_TimeLeft,335.868
Type,RD
FishN,17
Fish,2
Pond8Fish2_FishType,blue
Pond8Fish2_FishLatency,4.615384615384615
Pond8Fish2_CatchTime,0.98
Pond8Fish2_PondTime,16.251
Pond8Fish2_PondOutcome,24
Pond8Fish2_TotalOutcome,676
Pond8Fish2_TimeLeft,328.502
Type,RD
FishN,17
Fish,3
Pond8Fish3_FishType,blue
Pond8Fish3_FishLatency,5
Pond8Fish3_CatchTime,0.867
Pond8Fish3_PondTime,24.068
Pond8Fish3_PondOutcome,36
Pond8Fish3_TotalOutcome,688
Pond8Fish3_TimeLeft,320.685
Type,RD
FishN,17
Fish,4
Pond8Fish4_FishType,blue
Pond8Fish4_FishLatency,5.454545454545454
Pond8Fish4_CatchTime,0.981
Pond8Fish4_PondTime,32.434
Pond8Fish4_PondOutcome,48
Pond8Fish4_TotalOutcome,700
Pond8Fish4_TimeLeft,312.319
Type,RD
FishN,17
Fish,5
Pond8Fish5_FishType,blue
Pond8Fish5_FishLatency,6
Pond8Fish5_CatchTime,1.087
Pond8Fish5_PondTime,41.468
Pond8Fish5_PondOutcome,60
Pond8Fish5_TotalOutcome,712
Pond8Fish5_TimeLeft,303.285
Type,RD
FishN,17
Fish,6
Pond8Fish6_FishType,blue
Pond8Fish6_FishLatency,6.666666666666667
Pond8Fish6_CatchTime,1.392
Pond8Fish6_PondTime,51.335
Pond8Fish6_PondOutcome,72
Pond8Fish6_TotalOutcome,724
Pond8Fish6_TimeLeft,293.418
Type,RD
FishN,17
Fish,7
Pond8Fish7_FishType,blue
Pond8Fish7_FishLatency,7.5
Pond8Fish7_CatchTime,0.939
Pond8Fish7_PondTime,62.269
Pond8Fish7_PondOutcome,84
Pond8Fish7_TotalOutcome,736
Pond8Fish7_TimeLeft,282.484
Type,RD
FishN,17
Fish,8
Pond8Fish8_FishType,blue
Pond8Fish8_FishLatency,8.571428571428571
Pond8Fish8_CatchTime,1.012
Pond8Fish8_PondTime,74.635
Pond8Fish8_PondOutcome,96
Pond8Fish8_TotalOutcome,748
Pond8Fish8_TimeLeft,270.118
Type,RD
FishN,17
Fish,9
Pond8Fish9_FishType,gray
Pond8Fish9_FishLatency,10
Pond8Fish9_CatchTime,1.09
Pond8Fish9_PondTime,89.002
Pond8Fish9_PondOutcome,98
Pond8Fish9_TotalOutcome,750
Pond8Fish9_TimeLeft,255.751
Type,RD
FishN,17
Fish,10
Pond8Fish10_FishType,blue
Pond8Fish10_FishLatency,12
Pond8Fish10_CatchTime,0.923
Pond8Fish10_PondTime,106.368
Pond8Fish10_PondOutcome,110
Pond8Fish10_TotalOutcome,762
Pond8Fish10_TimeLeft,238.385
Type,RD
FishN,17
Fish,11
Pond8Fish11_FishType,blue
Pond8Fish11_FishLatency,15
Pond8Fish11_CatchTime,0.933
Pond8Fish11_PondTime,128.734
Pond8Fish11_PondOutcome,122
Pond8Fish11_TotalOutcome,774
Pond8Fish11_TimeLeft,216.019
Type,RD
FishN,17
Fish,12
Pond8Fish12_FishType,blue
Pond8Fish12_FishLatency,20
Pond8Fish12_CatchTime,1.198
Pond8Fish12_PondTime,161.101
Pond8Fish12_PondOutcome,134
Pond8Fish12_TotalOutcome,786
Pond8Fish12_TimeLeft,183.652
PondEnd_LastFish,12
FishN,17
Type,RD
GiveUpTime,32.77
PondTime,193.269
TimeLeft,150.979
PondOutcome,134
TotalOutcome,786
PondStart,PondStart
PondIntroTime,16.377754770219326
Type,RT
FishN,12
Fish,1
Pond2Fish1_FishType,purple
Pond2Fish1_FishLatency,4
Pond2Fish1_CatchTime,0.948
Pond2Fish1_PondTime,8.569
Pond2Fish1_PondOutcome,10
Pond2Fish1_TotalOutcome,796
Pond2Fish1_TimeLeft,125.417
Type,RT
FishN,12
Fish,2
Pond2Fish2_FishType,golden
Pond2Fish2_FishLatency,4.285714285714286
Pond2Fish2_CatchTime,1.69
Pond2Fish2_PondTime,15.557
Pond2Fish2_PondOutcome,30
Pond2Fish2_TotalOutcome,816
Pond2Fish2_TimeLeft,118.429
Type,RT
FishN,12
Fish,3
Pond2Fish3_FishType,purple
Pond2Fish3_FishLatency,4.615384615384615
Pond2Fish3_CatchTime,0.934
Pond2Fish3_PondTime,22.918
Pond2Fish3_PondOutcome,40
Pond2Fish3_TotalOutcome,826
Pond2Fish3_TimeLeft,111.068
Type,RT
FishN,12
Fish,4
Pond2Fish4_FishType,purple
Pond2Fish4_FishLatency,5
Pond2Fish4_CatchTime,0.85
Pond2Fish4_PondTime,30.735
Pond2Fish4_PondOutcome,50
Pond2Fish4_TotalOutcome,836
Pond2Fish4_TimeLeft,103.251
Type,RT
FishN,12
Fish,5
Pond2Fish5_FishType,purple
Pond2Fish5_FishLatency,5.454545454545454
Pond2Fish5_CatchTime,1.123
Pond2Fish5_PondTime,39.101
Pond2Fish5_PondOutcome,60
Pond2Fish5_TotalOutcome,846
Pond2Fish5_TimeLeft,94.885
Type,RT
FishN,12
Fish,6
Pond2Fish6_FishType,purple
Pond2Fish6_FishLatency,6
Pond2Fish6_CatchTime,1.137
Pond2Fish6_PondTime,48.135
Pond2Fish6_PondOutcome,70
Pond2Fish6_TotalOutcome,856
Pond2Fish6_TimeLeft,85.851
Type,RT
FishN,12
Fish,7
Pond2Fish7_FishType,purple
Pond2Fish7_FishLatency,6.666666666666667
Pond2Fish7_CatchTime,0.806
Pond2Fish7_PondTime,58.002
Pond2Fish7_PondOutcome,80
Pond2Fish7_TotalOutcome,866
Pond2Fish7_TimeLeft,75.984
Type,RT
FishN,12
Fish,8
Pond2Fish8_FishType,purple
Pond2Fish8_FishLatency,7.5
Pond2Fish8_CatchTime,0.834
Pond2Fish8_PondTime,68.935
Pond2Fish8_PondOutcome,90
Pond2Fish8_TotalOutcome,876
Pond2Fish8_TimeLeft,65.051
Type,RT
FishN,12
Fish,9
Pond2Fish9_FishType,golden
Pond2Fish9_FishLatency,8.571428571428571
Pond2Fish9_CatchTime,0.93
Pond2Fish9_PondTime,81.303
Pond2Fish9_PondOutcome,110
Pond2Fish9_TotalOutcome,896
Pond2Fish9_TimeLeft,52.683
Type,RT
FishN,12
Fish,10
Pond2Fish10_FishType,purple
Pond2Fish10_FishLatency,10
Pond2Fish10_CatchTime,0.997
Pond2Fish10_PondTime,95.669
Pond2Fish10_PondOutcome,120
Pond2Fish10_TotalOutcome,906
Pond2Fish10_TimeLeft,38.317
Type,RT
FishN,12
Fish,11
Pond2Fish11_FishType,purple
Pond2Fish11_FishLatency,12
Pond2Fish11_CatchTime,1.118
Pond2Fish11_PondTime,113.034
Pond2Fish11_PondOutcome,130
Pond2Fish11_TotalOutcome,916
Pond2Fish11_TimeLeft,20.951
